,dialog
121,YOU GOTTA FUCKING STAND UP FOR YOURSELF.
122,Cop: WE GOT A WHOLE FILE ON SKINHEADS HERE.
123,Second cop: SKINHEADS ALL PART OF THE SAME GANG?
124,VENICE BEACH GANG.
125,"Third cop: ACTUALLY, HE'S DONE A STRETCH AT Y.A."
126,"THIS GUY C.C., IS THAT HIM?"
127,"YEAH, THAT'S HIM RIGHT THERE."
128,"THIS MORNING WE HAVE A GUEST COMING IN, AND THERE HE IS."
129,GOOD MORNING.
130,"MORNING, SIR."
131,"GOOD TO SEE YOU, PAL."
132,GOOD MORNING.
133,"GENTLEMEN, THIS HERE IS DR. BOB SWEENEY."
134,"HE'S PRINCIPAL OVER AT VENICE BEACH HIGH, AND FOR SOME TIME NOW, HE'S BEEN DOING OUTREACH WORK WITH GANGS BOTH IN AND OUT OF THE CAN."
135,KID NAMED DEREK VINYARD WAS SENT UP FOR MURDERING A COUPLE OF CRIPS WHO WERE TRYING TO JACK HIS CAR.
136,"BOB TAUGHT VINYARD BACK IN HIGH SCHOOL, AND HE'S FOLLOWED THE CASE KIND OF CLOSELY."
137,"HE WAS A SKINHEAD, RIGHT?"
138,HE WAS MORE LIKE THE SKINHEAD...
139,THE PROT̩G̩ OF CAMERON ALEXANDER.
140,WHO?
141,CAMERON ALEXANDER.
142,HERE YOU GO. HAVE A LOOKSEE.
143,"CAMERON ALEXANDER, WELL..."
144,HE'S A VENICE BEACH LANDMARK.
145,HE'S PROBABLY THE BIGGEST DISTRIBUTOR AND WRITER OF WHITE POWER LITERATURE AND VIDEOS IN L.A. COUNTY.
146,"HE PROMOTES WHITE POWER BANDS, HE WRITES REVIEWS, AND IN HIS SPARE TIME, THIS GUY EVEN WRITES HATE COLUMNS."
147,DOES HE HAVE A RECORD?
148,HE'S PRETTY CLEAN.
149,"BEEN TRYING TO PIN SOMETHING TO HIM, BUT IT DOESN'T WORK."
150,TRUST ME. HE'S BEHIND ALL OF IT.
151,HE RUNS EVERYTHING OUT OF HIS HOUSE DOWN BY THE BEACH.
152,THERE WERE NO WHITE GANGS IN VENICE BEACH BEFORE CAMERON ALEXANDER AND DEREK VINYARD HOOKED UP.
153,ALEXANDER FOUND IN DEREK HIS SHINING PRINCE.
154,"ESSENTIALLY, HE USED DEREK TO RECRUIT A SLEW OF INSECURE, FRUSTRATED, AND IMPRESSIONABLE KIDS."
155,"THIS KID VINYARD, WELL, HE'S GOT A LOT OF BAGGAGE, AS YOU'LL SEE ON THIS TAPE WE'VE GOTTEN COURTESY OF NBC."
156,"EARLIER TODAY, L.A. COUNTY FIREFIGHTER DENNIS VINYARD WAS SHOT AND KILLED BATTLING A BLAZE AT A SUSPECTED COMPTON DRUG DEN."
157,"WE'RE AT THE VINYARD HOME RIGHT NOW, AND LIEUTENANT VINYARD'S OLDEST SON DEREK HAS AGREED TO TALK WITH US FOR A MOMENT."
158,"DEREK, IF YOU COULD COME DOWN HERE PLEASE FOR JUST A SECOND."
159,"LOOK, I KNOW THIS IS TOUGH, BUT HOW DO YOU FEEL RIGHT NOW?"
160,HOW DO YOU THINK I FEEL?
161,I THINK IT'S TYPICAL.
162,TYPICAL HOW?
