,dialog
197,"Aft tug away, sir."
198,Slow ahead.
199,"Slow ahead it is, sir."
200,"Gentlemen, we're under way."
201,"Since there was no formal launching, I should just like to say."
202,God bless this ship and all who sail in her.
203,"I'm sorry, madam, I had no business."
204,"No, no, it suits you. Let's see."
205,It's a very good color for you.
206,You're bigger here than I am.
207,I will?
208,It's yours when we reach New York.
209,"Oh, no, madam, I couldn't possibly."
210,"You like it, don't you?"
211,It's the most beautiful dress I've ever seen.
212,Then it's settled.
213," Oh, no, but I... I can't."
214, Shh.
215,Did you find everything you need?
216,Yes.
217,"There's no bidet in the bathroom, of course, but then, it's not a French ship, it's a British ship."
218,One mustn't expect miracles.
219,"Mrs. astor likes her comfort, huh?"
220,"I'm awfully spoiled, aren't I, for the rather ordinary daughter of a man who runs a forwarding firm in Brooklyn."
221,You were never ordinary.
222,I don't care who your father is.
223,And you're not half as spoiled as you're going to be when I'm through with you.
224,Did you spoil Ava when you were first married?
225,"Nobody spoils Ava, she's the one that spoils things."
226,Everything.
227,"I got used to her insulting me, calling me stupid and clumsy."
228,I never got used to her cruelty to Vincent.
229,"From the time he was no bigger than that, shaming him in front of her guests."
230,He's about the same age as you are now.
231,I don't suppose he's ever heard a kind word from her.
232,"Everywhere he goes, people say, ""ah, your mother, the greatest beauty of the age."" He just looks at them."
233,I'm not beautiful.
234,"Yes, you are."
235,Not like her.
236,But I can be kind.
237,I can be infinitely kind.
238,"Dear sis, I have only just now come off watch, and I am dashing this off to you, old chum, as I know you will be anxious for word of the great occasion."
239,We had a near thing leaving southampton.
240,A ship docked nearby was nearly sucked into a collision by the force of our propellers.
241,"But never mind, no harm done."
242,"Although one bloke in first class insisted on being put ashore in cherbourg, saying it was a bad omen or some such rubbish."
243,"The loading in France went off without a hitch, and we're now underway again."
244,It's a typical first night out.
245,"Pretty quiet, as always in any ship."
246,"The passengers haven't got the feel of it yet, and in this case neither have the crew."
247,The sheer distance from one end to the other is such I expect it will be a fortnight at least before I find the shortest route.
248,What do you think of it?
249,I don't know what to think.
250,It gives me the shivers.
251,"Big is one thing, but that?"
252,"It'll seem small enough, no doubt, when we're a thousand miles from any land and nothing but the great ocean all around."
253,"You've been to sea before, then?"
254,I haven't.
255,Me neither.
256,"What are those, Kate?"
257,I don't know.
258,Bumboats.
259,Bumboats? What's a bumboat for?
260,Boats that carry things to sell aboard ships when they ride into dock.
261,"Now didn't my brother travel all around the orient, that time he was a merchant seaman."
262,And then he used to write home about things.
263,"What's your pleasure, ladies?"
264,Here's the finest Irish linen in all creation.
265,Here's linen as fine as anything you'll find.
266,"Will you look this way, Mrs. astor? Smile, please."
267,"Mr. astor, could you tell us, how do you and your bride  feel to be on board the Titanic?"
268, No more.
269,"LouiseKate, I didn't know you were on board."
270,May I... may I introduce my wife?
271, Friends of Ava's?
272, Yes.
273, Doesn't matter.
274, Of course it matters.
275,"Oh, Johnny, look at this!"
276,"Oh, isn't it lovely?"
277,"Ah, the lady shows great taste."
278,That's a prime example of the art of making caliber class lace.
279,Very nice.
280,See how full it is in the waist?
281,I'll need that in a few weeks when I've begun to show.
282,Think of the poor women who risk their precious eyesight to produce a stitch that fine.
283,How much is it?
284,"Well, uh, in round figures..."
285,What I'll have before long.
286, Â£160.
287, You're joking.
288,"Oh, not a bit of it."
289, Â£1607?
290, $800.
291,That's ridiculous!
292,"No, thank you."
293,I'll give you $400.
294,$800 by your own reckoning.
295,"Let's make it even, $600."
296,And $200 makes $800.
297,You're a hard man.
298,"Come to think of it, it's a hard life, you know, now."
299,Maggie!
300,Maggie?
301,Maggie!
302,I beg your pardon.
303,Are you addressing me?
304,How's it gonna look on the marquee when I make my legitimate stage debut?
305,Maggie brown?
306,"Oh, I'm sorry."
307,Molly. Molly!
308, I keep forgetting.
309, So do 1.
310,"Hello, Emma. Are you two dining with us tonight?"
311,Try and stop us.
312,"Look, darling."
313,What would you think of this done up as a kind of walking suit?
314,All this stuff just brings out the Irish in me with a vengeance.
315,"Of course, you gotta tell me if it's apt to make me look like Patty's pig."
316,"Single ladies, this way."
317,Come along please.
318,"Never mind, we'll get you sorted out."
319,"This alleyway's something, innit?"
320,The officers have nicknamed it park Lane after the poshest street in London.
321,That's irony.
322,"The crew calls it Scotland road, which if you've never been to liverpool, you know, it's thoroughly disreputable."
323,My ticket's for a cabin that's already full up.
324,"Oh, well, come on then, join the parade."
325,"You know, you've got to expect these little mishaps  on a brand new ship."
326, Single ladies this way.
327,"Oh, I'm sorry."
328,"Mary Agatha, is it?"
329,Bridget. Bridget Bradley.
330, I'm Mary Agatha.
331, I'll get it straight.
332,The pair of you's the problem.
333,"Just remember, she's Kate and I'm Katie."
334,"Shocking business, isn't it?"
335,Putting four of us in a space this small.
336,"Small, is it?"
337,Seems massive to me.
338, Go on!
339, She means it.
340,She's one of ten kids.
341,And two rooms in the house.
342,We was all times three and four to a bed.
343, English speaking.
344, Reluctantly.
345,"Good. Here, lads, you can stow your cases underneath the bunks there."
346,"And the lavatory's right 'round the bend, which is where I shall be before this trip's over, I can tell ya."
347,"Well, it looks like we're gonna be sharing."
348,This here is David charters.
349, David.
350, 'Tis very good.
351,"I'm Farrell, James, Jim."
352, We're from London.
353," Gallagher, Martin. Donegal."
354,You're a long ways from home.
355,"Buckley, Daniel. Daniel Buckley."
356,"Why not take the upper there, you're smaller than Martin."
357,There's trouble getting in and out.
358,Right.
359,"Not exactly the royal hibernian, is it?"
360,"The royal hibernian, what's that?"
361,That's the swankiest hotel in Dublin is what that is.
362,Oh.
363,"Been much to Dublin then, have ya?"
364,We passed through on our way down here.
365,And did you stay at the royal whatever you call it?
366,Are you daft or what?
367,We have sod all between us.
368,We stayed at the westland road station is where we stayed.
369,Long enough to change trains.
370,"And last night in cobh, which the bloody minded British insist on calling queenstown."
371,We slept rough in a little park.
372,The girls stayed in a guest house.
373, The girls?
374," Well, two girls from our town  traveled down with us."
375, Name of gilnagh and mullins.
376,The two Kates.
377," Mother mercy, what's that now?"
378, An explosion.
379,"Not to worry, they've just started the engines, that's all."
380,You happen to be quite near the casing.
381, Are we moving?
382, We will be in two shakes.
383,"Heaven help me, I'm going to be seasick, I know."
384,"Well, think that way and you will."
385,"Is it ""abandon ship"" or ""run for your life"" or what is it at all?"
386, It's lunch.
387, Dadada! Dadada!
388,"Do you make that racket every time it's lunch, then?"
389,And breakfast and dinner.
390,"Third class dining saloon, one deck down. Thank you."
391,Dinner? They call tea dinner?
392,What swank.
393,I never had dinner in my life.
394,"We're on our way to ruin, the bunch of us."
395,Good.
396," Daniel, my stomach's growling."
397, Almost finished.
398,"Daniel, be careful. Watch out."
399, Oh!
400," Oh, I'm sorry."
401,No harm done.
402," Oh, watch out."
403," It's all right, folks."
404,This reel is nearly used up.
405,"That's quite an expensive toy, isn't it?"
406,It was a wedding present.
407,"My dad's in the business, moving pictures."
