,dialog
142,"Roger, flight, let's go."
143,Okay.
144,My feet are out.
145,"I think I'm dragging a little bit, so I don't wanna fire the gun yet."
146,"Okay, I'm separating from the spacecraft."
147,"Okay, I'm out."
148,"Oh hey, there, I can see around now."
149,"Okay, just a sec."
150,"You're right in front, Ed, you look beautiful."
151,I feel like a million dollars.
152,"This is the greatest experience, it's just tremendous."
153,"Looks like a thermal glove, Jim."
154,I feel like a million dollars.
155,The flight director says get back in.
156,"Jimmy, get back in."
157,Okay. Going to come back in now.
158,"Now back in, come on."
159,"One, zero. Ignition."
160,"We will start, we have a liftoff."
161,"Rocketmen can walk in space, and one day might even walk on the Moon, but could they come home again?"
162,And you can tell him that the pad preparation schedule is going very well.
163,"To find out, two ships must fly in space together, and fly close enough to join."
164,"The word from the Cape is, we are go."
165,"The prime pilots for the Gemini 6 flight, Walter Schirra and Tom Stafford."
166,Only if they can will men return from the Moon.
167,"Three, two, one. Ignition."
168,But will two ships even find each other in the vastness of space.
169,"Okay, their orbit is 87 by 140."
170,How are the 7 boys doing?
171,They go over a while ago?
172,"They sure did, they're about five minutes ahead of you."
173,"Roger, tell them we'll see them at the next station."
174,"Roger, read you loud and clear."
175,"Hey, I think I've got them."
176,Is that space craft 7?
177,"Break, and point four eight nautical miles."
178,Ask them what their range is now.
179,About 20 feet.
180,Twin ships meet in the heavens and fly almost close enough to touch.
181,"Gemini 7, are you able to see in the windows of 6 very easily, and vice versa?"
182,Roger.
183,It is proof a moon lander could meet a mother ship and return.
184,A giant leap towards the dream of the moon.
185,"And then, it's over."
186,"Coming home, death lurks just inches from the rocketmen."
187,"A superheated plasma envelops the craft, twice as hot as the surface of the sun."
188,Frank Borman and Jim Lovell are the most traveled humans in history.
189,"They have voyaged more than six million miles, and the sun has risen and set on them 400 times."
190,"They have shown that men could live through the long journey to the moon, and it is their destiny to go there."
191,The final part of the dream is coming.
192,"Its name, Apollo."
193,"In legend, the god Apollo flew on the back of a swan to the land of eternal Spring."
194,"Fire will carry this Apollo, a million gallons of fuel in a rocket the size of a 35 story building."
195,"It is beyond earthly names, so they call it Saturn, the most powerful machine the human mind has ever conceived."
196,"In the first crew, 31yearold Roger Chaffee joins the rocketmen elite, Gus Grissom, the man who cheats death, and Edward White, spacewalker."
197,"Good luck, John."
198,"The year is 1967, the last week in January."
199,It is just after midday.
200,"This is a hard phrase to say, but I think it's a necessary one, it would be an instantaneous death, would it not?"
201,I think that's a fair assumption.
202,"These three men, they were aware of consequences of the risky work they were doing, were they not?"
203,"They were, all of our pilots are."
204,"This is an extremely hazardous business, we've tried to convey that to people, and I know you newsmen have too."
205,"But, it's a shame that things like this have to happen to bring it home to us so dramatically."
206,Death will only wait so long.
207,"It came for Grissom, White, and Chaffee."
208,A fire in the sealed capsule.
209,"The cause, a spark from wiring beneath Gus Grissom's seat."
210,"From the ashes comes a phoenix, built on the lessons learned from men who gave their lives."
211,"Almost two years later, a reborn Apollo is ready to fly."
212,"This is Apollo Saturn Launch Control, with two hours, 20 minutes and counting, we appear to have a beautiful morning here for a flight to the moon, and countdown's still going very satisfactory at this time."
213,"We expect that astronauts Frank Borman, Jim Lovell, and Bill Anders will be coming out in a matter of a few minutes."
214,"Today, just before Christmas 1968, they will seek to make history."
215,"we have the power transfer, we're now on the flight batteries within the launch vehicle."
216,"T minus 15, 14, 13, 12, 11, 10."
217,"We have ignition sequence start, the engines are on."
218,"Four, three, two, one, zero."
219,"We have commit, we have liftoff."
220,We have cleared the tower.
221,"S2 has ignited, we can confirm, and the thrust looks good, all engines, all sources show that the state is burning perfectly."
222,The launch of the giant rocket can be seen for 100 miles.
223,"That was a very exciting ride on that big Saturn, but it worked perfectly."
224,"For time beyond time, men have dreamed of seeing Earth as a globe, a single planet."
225,These rocketmen do so.
226,"These new adventurers are Earth's most traveled pair, Frank Borman and Jim Lovell."
227,"And with them, on his first flight, astronaut Bill Anders."
228,"They are to be the first men to travel to the Moon, orbit round it, and return."
229,NASA rates their chances of living no more than 5050.
230,"For almost a quarter of a million miles they travel between the Earth on the Moon, and see it as no one has before."
231,Point nine by 50.5.
232,"This is Houston, roger, This is the first sight human eyes ever have of the far side of the moon."
233,"And then, orbiting the moon, they discover the Earth."
234,"For all the people back on Earth, the crew of Apollo 8 has a message that we would like to send you."
235,"On Christmas Eve 1968, Apollo 8 calls home."
236,More people listened than have ever heard a single human voice before.
237,"In the beginning, god created the heaven and the Earth, and the Earth was without form and void, and darkness was upon the face of the deep."
238,And the spirit of god moved upon the face of the waters.
239,"And god said, ""Let there be light."" And there was light."
240,"And god bless all of you, all of you on the good Earth."
241,"Now we have seen the Moon, now we must make it ours."
242,"But one vital element is not ready, the lunar lander, a ship that can actually set down."
243,"It will be very light, very fragile, and very hard to fly."
244,"The world's best pilots will be needed to tame it, like Neil Armstrong."
245,"The rocketman cheats death, it is their gift, sometimes."
246,"Liftoff, we have liftoff at 11am Eastern Standard Time."
247,"And, Apollo 9, it's five minutes, everybody's happy as a clam here, looking good."
248,"In the spring of 1969, rocketmen fly once again."
249,"This time they bring with them the LEM, the lunar lander, to fly for the very first time."
250,"Three, two, one, liftoff."
251,You're good.
252,It's a nice looking machine.
253,So is yours.
254,"Orbiting Earth, the men who fly the lander have no hope their flimsy ship could ever get them home."
255,Upside down again.
256,"Yeah, I'm just thinking, one of us isn't right side up."
