,dialog
182,You have known Mr. Wick for a great many years.
183,"It might even be fair to call you friends, yes?"
184,"Instead of stopping him, instead of killing him, you stood by and let him walk away after he shot Santino D'Antonio in front of you."
185,I made him Excommunicado.
186,But not before you gave him an hour to escape.
187,He broke the rules in my hotel.
188,"This is exactly the problem, your hotel."
189,Where is your fealty?
190,I've been of service for over 40 years.
191,Under the Table.
192,Serving the Table.
193,Everything is under the Table.
194,"I understand that you have your loyalties, but this cannot be overlooked."
195,Let me be clear.
196,I am here to adjudge you.
197,You have one week to get your affairs in order.
198,Excuse me?
199,"At such time, your successor will be named."
200,"There are rules, they are the only things that separate us..."
201,From the animals.
202,Yes.
203,You have seven days.
204,"In the meantime, if you need any assistance with your transition, you may look for me in room 217."
205,Enjoy your stay at the Continental.
206,There's an Adjudicator here to see you.
207,Welcome to my Mission Control.
208,Brain stem of my operation.
209,The information super flyway.
210,"From whence I control the word on the street, the way of the world."
211,With pigeons.
212,"Yes. You see rats with wings, but I see the Internet."
213,No IP addresses.
214,No digital footprint.
215,"Can't track it, can't hack it, can't trace it."
216,Can you get disease from it?
217,"Well, I wouldn't recommend that you eat one."
218,What the hell do you want?
219,I wanted to see where it didn't happen.
220,Where what didn't happen?
221,Where you didn't kill John Wick.
222,I've always been under the impression that contracts and executing them was optional.
223,I have no problem with John Wick.
224,"And yet, you gave John a sevenround Kimber 1911, knowing that he intended to use it to stand against the Table."
225,Yes?
226,"This Kimber 1911, to be exact."
227,"You gave John Wick seven bullets, the High Table is giving you seven days."
228,"Seven days for what, exactly?"
229,To settle your affairs and find a new home for your birds.
230,"In seven days, you abdicate your throne."
231,"Oh, my dear."
232,"Tell me, do you know what the Bowery is, Adjudicator?"
233,Do you know what happens when I wave my hand?
234,"No, there will be no replacement for me on the throne."
235,"Because I am the throne, baby."
236,I am the Bowery!
237,I am all that you deign not to look at when you walk down the street at night.
238,The Bowery is mine.
239,Mine alone.
240,"Do not make the mistake of thinking you exist outside the rules, no men do."
241,You have seven days.
242,Enough!
243,I'm afraid our friend here is off limits.
244,But he's Excommunicado.
245,It seems the manager has granted him amnesty.
246,"Mr. Jonathan, would you be so kind as to come with me?"
247,"Welcome to Casablanca, Mr. Wick."
