,0
226,"Hey, who you got, Cap?"
227,I got 50 on a torn ACL.
228,I ain't running for free.
229,What's the bet?
230,"I win, we lay it down."
231,We turn in our papers and we retire.
232,"All right, when I win, you stop all thisfoolish retirement talk."
233,We ride this thing tillthe wheels fall off. Bad boys for life.
234,Bad boys ain't really boys anymore.
235,"Hey, Cap, just have the ambo on standby."
236,Old boy gonna need fluids and oxygen.
237,"- That's him, Cap. That's him."
238,- Okay.
239,"On your mark, get set, go!"
240,"- Go, Marcus! You got this!"
241,- Where you at?
242,"- You got this, baby! Breathe!"
243,- Where you at?
244,"Come on, baby!"
245,"Breathe, baby, breathe!"
246,Go!
247,"Where you at, baby?!"
248,Mike!
249,"- Mike. Mike! Oh, shit! Get some help!"
250,- Captain Howard.
251,I got an officer down.
252,"We're on Ocean Drive, 700 block."
253,- Hold on.
254,- Gunshot wound.
255,"- Oh, shit."
256,- What happened?
257,- Just get... Get some help!
258,- Who did this?!
259,- Who the fuck did this?!
260,- The shooter's driving a black motorcycle...
261,Come on. Don't do this.
262,Don't do this.
263,"- Mike, stay with us."
264,- Come on.
265,Get an ambulance!
266,"- Come on, Mike. Come on."
267,"- Hey, hey, hey."
268,Phone... I got him on the phone.
269,You gonna be all right. You gonna make it through this.
270,"Come on, man. Stay with us, man."
271,"Come on, Mike. I'm right here."
272,"Dear God...it's me, Marcus."
273,You blessed mewith a lot of stuff lately.
274,<i>I know I haven't beento church in a while.</i>
275,<i>Probably Easter.</i>
276,"<i>But I ain't gonna lie,</i>"
277,<i>I wasn't paying attention.</i>
278,I haven't lost faith.
279,It's just...
280,I was ashamed at some ofthe stuff we had to do.
281,"<i>I know ""thou shall not kill,""</i>"
282,"<i>but they were bad guys,all of them.</i>"
283,"<i>You know, Mike hardly hada life yet.</i>"
284,"<i>No wife, no kids.</i>"
285,"<i>If you could just please findit in your heart</i>to give him one more chance, man."
286,"<i>Straight up,he's my best friend.</i>"
287,<i>My brother.</i>
288,"If you just spare him,"
289,"I swear to you,"
290,I will put no more violencein this world.
291,<i>A drive-by shooting has a famed Miami Dadepolice officer fighting for his life.</i>
292,<i>Witnesses report hearing shotsand a blacked-out bike fleeing the scene.</i>
293,<i>Detective Mike Lowrey remainsin critical condition.</i>
294,Let's run Cap through what we got on the case.
295,"Kelly, run us through ballistics."
296,So the slugs in Officer Lowreywere SS190.
297,"P90 fires that caliber,the Herstal."
298,"But these were subsonic 5.7-by-28s,custom rounds."
299,I wanna know who made those bullets.
300,We are watching 4chan and cross-referencingthe players in the market with the feds' red lines.
301,Mike's like a son to me.
302,I want this asshole.
303,This is personal for me too.
304,"- Let's bring every single thing we got, all right?"
305,- You got it.
306,"I made it clear,"
307,Lowrey dies last.
308,I'm the one up here.
309,"I've learned how to handle things,all right?"
310,<i>You've had metraining my whole life.</i>
311,The cop was a threat.
312,The others are nothing!
313,<i>Do you listen to me or not?</i>
314,I wanted him to see the others die.
315,<i>Just finish it.</i>
316,<i>Never disobey me again!</i>
317,<i>Retired DA Rodrigo Vargas wasgunned down this afternoon.</i>
318,"<i>The DEA is mourning Dr. Jack Weber this evening,a 20-year forensic investigator for the agency in Miami.</i>"
319,There you are.
320,"<i>In yet anotherexecution-style homicide,</i>"
321,<i>Judge Leon Sorenson was shot outsidehis courthouse late Wednesday.</i>
322,<i>The war on law enforcement continues.</i>
323,Three other law enforcement personnelhave been killed that could be linked to our case.
324,- It's a war on the goddamn law.
325,- All the same shooter as Mike.
326,- Connected how?
327,"- Traffic cams, witnesses, tire treads,all put the same blacked-out bikeat the scene."
328,We want to thank you allfor joining us today.
329,It means a lot to the family.
330,And I now pronounce you man and wife.
331,You may kiss the bride.
332,I really gotta stop cryinglike this.
333,"Hey, you guys are great."
334,"Ladies and gentlemen,it's time for our first toast."
335,I'm going to bring up
336,"Officer Mike Lowrey,affectionately known as Uncle Mike."
337,All right. Let's do this.
338,"First off, Reggie,"
339,I am shocked that you are even still here.
340,"I remember your first date with Megan,and trust me, me and Marcus did everythingwe could possibly do to make sure you never came back."
341,"But I'm telling you,love is hard."
342,And your relationshipwill be tested.
343,And your father and I have weatheredstorm after storm.
344,"And we have a mantra thatwe say to each otherin our darkest days,and it always seemsto bring us back together."
345,"And, Reggie, Megan,"
346,I would like to share it with you.
347,"We ride together,"
348,- we die together.
349,- We die together.
350,Bad boys for life!
351,No.
352,"- No, what?"
353,- You know what.
354,"From the minute I heard you were still breathing,"
355,I've been waiting for the shit to hit the fan.
356,"Look at me, Mike. No."
357,- You don't even know what I'm gonna say.
358,- I know you. I know what you're gonna say.
359,AMMO's got this.
360,AMMO?
361,"Come on, Cap."
362,AMMO?
363,"With all due respect,"
364,AMMO is a high school musical...boy band with guns.
365,They don't even have shit.
366,How do you know what they haveor don't have? They have!
367,- What do they have? What?
368,- They have.
369,"The bullets they carved out of you,they were custom rounds for the P90 Herstal."
370,AMMO's gonna find the dealer
371,- that supplied your shooter.
372,- How?
373,"- State-of-the-art police work, that's how."
374,"- Cap, look... All right."
375,- Sir.
376,- Sir?
377,You are desperate.
378,But I can't.
379,"Mike, I can't let youinvestigate your own case."
380,- All right. Let me investigate the Vargas case.
381,- No.
382,The last thing I need is having IAD shovinga Hubble telescope up my assfor a full-on colonoscopy.
383,- You know the rules.
384,"- Fuck the rules, Cap."
385,Come on. Put me and Marcuson this shit.
386,Have you talked to your partner?
387,You retired?
388,"It's my daughter's wedding, Mike."
389,Do we have to do this right now?
390,Yeah.
391,- I told you I was retiring.
392,- Wha...? What?
393,"Wait, nah, hold up."
394,"We raced, you lost."
395,Now you reneging? What happenedto bad boys for life?
396,"Yeah, for life. It's off."
397,You died.
398,What? What the hell are youtalking about?
399,"You coded out, Mike,three times."
400,"Marcus, look,this motherfucker stole somethingfrom me and I need it back."
401,"What did he takefrom you, Mike?"
402,You're still here.
403,"All he took from you was the legend,"
404,"""Bulletproof Mike."""
405,But I saw youon the ground bleeding.
406,"You're human, just likethe rest of us."
407,"Yeah, his ass bleeds too."
408,"I'm telling you, Mike."
409,"You go out there for vengeance,you gonna get someone killed."
410,"Oh, we definitely bringingsome smoke."
411,That fool put holes in me!
412,"And you're filling themwith hate, Mike."
413,"Look, you need to start thinkingabout your karma, man."
414,This was a sign.
415,"A sign, yeah."
416,A sign to turn up.
417,So I'm supposed to bow down now?
418,Give this bitch a pass?
419,"""Turn up""?"
420,"What are you, 20?"
421,You need to turn that shit off.
422,"You know, Mike..."
423,Rita called me every day you werein the hospital.
424,"There's something still there,a future."
425,My future is huntingthis motherfucker.
426,"Well, it's not mine."
427,All right.
428,So let me get this straight.
429,So somebody get to dump my ass outin the streetand you ain't gonna do shit?
430,You just gonna quit?
431,"How dare you, man?"
432,I sat by your bedside.
433,"I wiped the drooloff your chin, Mike."
434,- Don't disrespect me like that because you don't know.
435,"- All right. All right, man."
436,"Look, Marcus,"
437,I'm asking you.
438,"I'm begging you, man."
439,I need this.
440,Bad boys...one last time.
441,"No, Mike."
442,No.
443,"Everything for you, Papa."
444,Mama.
445,<i>He didn't die.</i>
446,<i>Isn't that what you wanted?</i>
447,Santa Muerte wouldn't let him diebefore he suffered as we have.
448,<i>Don't kill himuntil I tell you.</i>
449,He will suffer.
450,A little somethingfor your fans...
451,"<i>Video of a shooting ofa Miami detective has surfaced online,</i>"
452,<i>going viral in a matterof hours.</i>
453,<i>The video first appeared on the darknetand soon spread to mainstream social media.</i>
454,<i>Authorities believe the shooter uploadedthe video himself.</i>
455,Too slow.
456,You're slipping.
457,Still had the key.
458,What's up?
459,Howard told me you wanted back in.
460,"Obviously, that can't happen."
461,Says who?
462,"Michael, you got shot."
463,"- Yeah, people keep reminding me of that."
464,"- Well, why do you think that is?"
465,"- Oh, you shrinking me now."
466,- You always say that when you don't wanna get real.
467,"No, I always say thatwhen you start shrinking me."
468,"Hey, this is the type of casethat AMMO was built for."
469,"- You just have to trust me, that's all."
470,"- Oh, come on. What?"
471,Why you always go there?
472,This don't have nothing to dowith me trusting you or not.
473,"- Oh, no?"
474,- No.
475,Are you even healed?
476,"- Yeah, I'm fine. Yeah."
477,- Yeah?
478,- You sure you're fine?
479,"- Oh, shit. Rita."
480,- You sure you're fine?
481,- Rita. Stop.
482,- Hey. This is me you're trying to bullshit.
483,- Rita...
484,"If you get involved, you're gonnamake mistakes you can't take back."
485,What does that mean?
486,Where'd you get that?
487,Until you burn?
488,Until you die?
489,You know me well enoughto know not to ask me to quit.
490,"It's because I know you,"
491,I'm asking.
492,Because I care about you.
493,As a friend.
494,Let us handle this.
495,"Shit. Alexa, turn downthe volume."
496,Marcus! You need to get outof the house!
497,"Sorry, baby."
498,So sorry.
499,How about a spa day?
500,- Is that Manny's car?
501,- Yeah.
502,- Where's Manny?
503,- In the back.
504,"Oh, shit. Mike Lowrey."
505,"What are you doing here, man?"
506,"You look like a ghost, man."
507,"You know they say you're dead, fuckboy."
508,I got to show you something.
509,The streets is talking.
510,That cop shit ain't working for you.
511,Come work for meat Manny's Prime Rib.
512,"See, look,you get dropped right here."
513,And guess what.
514,You're trending worldwide.
515,"My fucking hand, man!"
516,"Yo, this ain'tno fucking cop shit, man!"
517,What happened about reading my rights?
518,This is not how it's supposed to go.
519,"You're supposed to ask me questions,and then I tell you, ""Go fuck yourself!"""
520,"What the fuck, man?"
521,Fuck!
522,"- My fucking hand, man."
523,"- P90 Herstals, custom, who's making them?"
524,"Mike, I'm notin the game no more."
525,"Oh, nah?"
526,Okay. My bad.
527,"- Mike, Mike, fucking chill, man."
528,"- So all these vegans in Miami,and you want me to believe that that hot rodyou got outside comes from selling pork chops?"
529,"I work at Manny's. I'm a family man,and I'm a hardworking man."
530,I got you...
531,"Oh, shit. Oh, man."
532,- Did you just get pig fat on my suit?
533,"- Oh, shit."
534,"Sorry, Mike."
535,Sorry.
536,No! Booker Grassie!
537,That's the name! Booker Grassie!
538,"That's the name, man!"
539,"Yo, Mike! Mike! Yo, Mike!"
540,"The handcuffs, man!"
541,Booker Grassie.
542,Only arms dealer in Miami customizingfor the P90 Herstal.
543,What'd I tell you?
544,I know. I'm not supposed to investigatemy own case. I know the rules.
545,But this fool posted a videoof him trying to kill me.
546,I saw it.
547,"- I can go after him vigilante style, or you can bring me in."
548,- Or I could shoot you myself.
549,Fuck me!
550,"Fuck, fuck, fuck!"
551,If...
552,"I bring you in, to consult,and you go cowboy on me,"
553,I need you to comprehendthe level-five shitstorm I will be drowning in.
554,No gold-plated watch.
555,No cop retirement village.
556,I'm sticking myself out on a skinny limb!
557,Scratch that.
558,A twig in an ice storm!
559,"Me, on the edge, ""tithering."""
560,"You mean, teetering?"
561,That's what I said!
562,And picture me very fat!
563,"- Think I got the image, Cap."
564,<i>- What is he doing here?</i>
565,He's gonna be helping out.
566,- I don't want him.
567,- I'm not working with her.
568,He's not. You're not.
569,He's consulting. It's your show.
570,"- Captain, come on."
571,- Wait.
572,"I know you guys got history together,so let's not make it personal."
573,- Personal? I'm the only one being a professional here.
574,- This is not détente. I'm informing you of my decision.
575,- This is a bad idea.
576,"- He's gonna investigate this case, no matter what!"
577,"So this way, we keep himon a short leash, we control him."
578,"I'm standing right here, Cap."
579,Mike will consult.
580,He'll observe.
581,That's it.
582,"Now, what do you got?"
583,"Picked up chatter. The dealer we think customedthose Herstal rounds, he's making another sale."
584,Booker Grassie.
585,Did you share any otherconfidential information?
586,What? Not me.
587,He's the one that told me.
588,Guess my old tricks still worka little bit.
589,You're a distraction.
590,You see that?
591,"That's what I like, teamwork."
592,Already a beautiful relationship.
593,"<i>- The video, presumed to be posted by the shooter...</i>"
594,- Guys.
595,This is Detective Michael Lowrey.
596,He'll be joining us as an adviser only.
597,<i>Police have no suspects.</i>
598,<i>And the shooter isstill at lar...</i>
599,Nice to meet you all as well.
600,- Thrilled to see you've had a...
601,- Sweet.
602,- I am much better now. Thank you.
603,- I am so sorry about that.
604,"You look good, Michael."
605,"Look, she calls me by my whole government name,but everybody... You can just do Mike."
606,"- For sure, Mike."
607,"- Got it, Mike."
608,"Yeah, sure thing, Michael."
609,"Oh, so you're that guy."
610,"- Hey, there's always one."
611,- Yeah. Right up till there's not.
612,- What's that supposed to mean?
613,"- It's Mike Lowrey, okay?"
614,- Be cool. For once.
615,- Let's load up!
616,Think I might be able to hang outwith you guys after all.
617,"Nah, nah, that ain't the one."
618,We're taking The Crawdaddy.
619,Wait until you see the inside.
620,"- You need any help, Gramps?"
621,"- Go ahead somewhere, boy."
622,Look at you tryingto be all cool and shit.
623,"Okay, everybody is way too serious."
624,Raids are supposed to be fun.
625,They're like field trips with guns.
626,This is not a raid.
627,It's surveillance.
628,Surveillance? Right.
629,Meaning we're just gonna watch the crime.
630,We'll record him in the dealand bring him in facing serious time.
631,Then we'll get him to talk and he's gonnatell us everything that we need to know.
632,"Or since he's gonna be thereand we're gonna be there,"
633,"I mean, we could just grab him."
634,Thank you for your input.
635,Okay.
636,Listen up. Booker Grassie is the guythat sold the bullets we took out of Michael.
637,"Hey, look, you think you could stopcalling me Michael in front of everybody?"
638,It's your name.
639,Okay.
640,<i>Relax and clear your mind.</i>
641,<i>Use God's inspiration to bringpeople peace and tranquility</i>
642,<i>by penetrating their soulswith your heart.</i>
643,We're here.
644,"Excuse me, Mr. Lowrey."
645,"- Just need to get past you, please. Thanks."
646,"- Sure thing, buddy."
647,"You're the tech, huh?"
648,They just leave you in the van?
649,"Yeah, I'm more comfortablein here."
650,Got it.
651,Sending in Big Barry.
652,You're not Big Barry?
653,He's our surveillance drone.
654,So you send the drone in.
655,Let's fly.
656,I guess Barry getsto have all the fun.
657,There. Black pickup truck.
658,That's our H-77 Boyz.
659,Who are they?
660,These guys are definitelyfrom out of town. Trying to step up.
661,"I need wide angle, whole deal."
662,Zoom in.
663,Booker's hooking them upwith a crate of 5.7-by-28s.
664,- That's Booker Grassie.
665,- There's our deal.
666,Audio.
667,<i>Here it is.</i>
668,These will put a hole through anyoneand anything you point your gun at.
669,<i>I guarantee my product.</i>
670,"- He's right there, Rita. We can grab him."
671,- No.
672,I'm not risking the collateral damage.
673,- Let's move.
674,- Let's wait.
675,- You're the boss.
676,"- Yeah, I know."
677,- That's what I just said. Okay.
678,"- Yeah, I just confirmed it."
