,0
921,"No! If she fouls you,you foul her back!"
922,- Yes!
923,- Yeah.
924,So there's this...
925,"This Buddhist guy, right?"
926,"And, you know, mountain man, way up high,going down this long winding road."
927,"And out of nowhere,this other guy's ridinga horse right toward him."
928,"He's Buddhist too,"
929,I think.
930,"- Actually, I'm not sure."
931,"- Just let them both be Buddhist, Cap."
932,"Okay, fine."
933,"So the guy on the horse isriding toward our guy so fastthat our guy's gotta get out of the way,so as not to be trampled by the horse."
934,"And the guy gets up, all dusty, and he goes,"
935,"""Hey, where the fuck are you going?"""
936,"And our guy on the horse,he says:"
937,"""I don't know!"
938,"Ask the horse!"""
939,Ask the horse?
940,Exactly.
941,- Yes!
942,- Yes!
943,See that face...? That. That?
944,That's it.
945,That was my face.
946,The horse representsall of our fears and traumas.
947,"And it's got us running arounda hundred miles an hour,to the point where we can'teven answer a simple question."
948,"""Where are you going?"""
949,"Where are you going, Mike?"
950,"No, Callie!"
951,Don't pass!
952,Shooters shoot!
953,Kid's got the family curse.
954,Mike...you gotta get control of your life.
955,You gotta grab the reinsbefore your horseruns you off a cliff.
956,Come over for dinner.
957,Callie would love to see you.
958,I'll read you a Buddhist story.
959,I got a book full of them.
960,"- Wait, you gonna be cooking again?"
961,"- Hell, yeah."
962,"- All right, all right. We'll order pizza."
963,"- Yeah, I think I can do that."
964,Bingo.
965,- Cap!
966,"- I don't know! I don't know! Go, go, go!"
967,Get him.
968,I can help. What does he need?
969,Shoot.
970,- Through the bitch.
971,- Move.
972,- Move. Get behind the car.
973,- No. I can help.
974,Move! Get behind the car!
975,"What's wrong with you, man?"
976,You had that shot.
977,No innocents.
978,"You crazy, man, you know that?"
979,Three-fifteen. Shots fired.
980,Officer down.
981,Jose Marti Park.
982,We need Air One on a three.
983,This is Detective Mike Lowrey.
984,The captain is down.
985,The captain is down.
986,Ready! Aim! Fire!
987,Ready! Aim! Fire!
988,"You were right, man."
989,"You said if I went out there,"
990,I was gonna get somebody killed.
991,One last time?
992,One last time.
993,"Mama, they're all gone."
994,It's time?
995,"<i>Yes, kill him.</i>"
996,"<i>But before you do it, look in his eyesand tell him something for me.</i>"
997,"What, Mama?"
998,I ran a suspicious financial report on Booker.
999,All his LLC fronts have the same accountant.
1000,"Picante Jenkins, CPA."
1001,Yep. You don't meettoo many Picantes.
1002,- So we just gonna do a knock-and-talk?
1003,- Yeah.
1004,- What the hell is all that?
1005,- What you talking about?
1006,"Mike, you don't needa grenade launcher."
1007,"Yeah, but I want one."
1008,"He's an accountant, Mike."
1009,"- Look, we're not going in there like that."
1010,- Like what?
1011,"Hey, look, all our lives,we've been bad boys, all right?"
1012,Now it's time to be good men.
1013,Who in the hellwanna sing that song?
1014,"<i>Good men, good men"
1015,What you gonna do?</i>
1016,"Well, maybe if you sang the songlike you meant it, it'd catch on."
1017,Nah.
1018,Knock and talk.
1019,"Yeah. Knock, knock."
1020,- Mike! Mike! Mike!
1021,- Miami PD! Get down!
1022,- Mike! Mike!
1023,- Get down!
1024,- What is happening?
1025,- Mike! What happened to knock and talk?
1026,"- Hey, you broke my door. You broke my door!"
1027,"- Sir, sorry about the door, okay?"
1028,- A little Gorilla Glue will make that just fine.
1029,"- Hey, where's your warrant?"
1030,I need you on your knees with your handsbehind your head right now!
1031,"Sir, if you keep moving,"
1032,I'm gonna shoot you in your face.
1033,"- No, he's not."
1034,"- Yes, I am!"
1035,"Mike, the man is an accountant."
1036,We just need to talk to him.
1037,So you wanna have a conversation
1038,- with a coked-out orange mountain?
1039,- Here's the latest figures.
1040,"Look, let me handle this, okay?"
1041,Just back up.
1042,I'm gonna penetratethis man's soul with my heart.
1043,What?
1044,Yeah.
1045,Watch and learn.
1046,"Hey! Hey, ass licker."
1047,I'm gonna fast-food fist-fuck you.
1048,"Sir, that's just nasty."
1049,"- Now, I recognize that this is a difficult situation."
1050,- Don't come over here.
1051,- Don't go over there.
1052,- We just need your client's receipts.
1053,- What?
1054,- Booker Grassie.
1055,Any record of...?
1056,Hey. How deep you thinkyou got in his soul?
1057,- Sometime you gotta suffer for what is right.
1058,- Don't you turn that other cheek.
1059,- Get off me!
1060,- All right.
1061,"Now, sir, I realizethat you're scared."
1062,"Hell, we all scared."
1063,"You know, sometimes fear just..."
1064,"So, what you thinking?"
1065,I think you shouldhandle this one.
1066,"Yeah, me too."
1067,Hey!
1068,MLK just tapped out.
1069,You got Brother Malcolm now.
1070,We can handle thisby any means necessary.
1071,"Hey, I recognize you."
1072,You're that cop that got shot.
1073,"Bad year you're having,"
1074,Butterscotch.
1075,"If you didn't have that gunand badge, I'd fucking eat you."
1076,"This the only thing that's keeping youfrom eating me, huh?"
1077,Yeah.
1078,"Bring it, big boy."
1079,- Left line clear!
1080,- Cuff him.
1081,What the hell are y'all doing here?
1082,I called them.
1083,What?
1084,What happened to bad boysone last time?
1085,This is one last time.
1086,"But this here's the remix, Mike."
1087,We work with AMMO now.
1088,"That's that shit, okay?"
1089,You got three secondsbefore I bite it off.
1090,Get your damn finger out my face.
1091,"So tell us. Judge, prosecutor,criminal informant, the captain, and you."
1092,- Who do you all have in common?
1093,"- Hundreds of investigations, operations..."
1094,Eight hundred and forty-seven casesin the nexus of all the victims.
1095,"- Well, who up there wants to kill you?"
1096,"- Hell, who doesn't?"
1097,- All right.
1098,- That just the criminals that we're looking at.
1099,I don't trust a person that don't wanna kill him.
1100,"Hell, put my name up there."
1101,- Thanks. We got it. We appreciate it.
1102,- What you get out of the accountant?
1103,- His records are a mess.
1104,- Surprising.
1105,But I did manage to getinto his Keychain.
1106,- So?
1107,- All of his social.
1108,Boom.
1109,A lot of dick picsbut not so many clues.
1110,- Facial rec for anyone in our system.
1111,- On it.
1112,It's three daysbefore I got hit.
1113,"Hey, go back to that last shot."
1114,The chain.
1115,"Yeah, zoom in."
1116,- Zway Lo.
1117,- Zway Lo.
1118,Who's Zway Lo?
1119,Lorenzo Rodriguez.
1120,Goes by Zway Lo.
1121,Used to coach him in peewee hoopsbefore he went for that thug shit.
1122,"Great player, but I had to bench himduring the championship."
1123,You benched a 10-year-oldin the championship game?
1124,Yeah. Little fucker called mea dickhead.
1125,- Did y'all win at least?
1126,"- Hell, no."
1127,He was our star player.
1128,"We lost by 40, but I made my point."
1129,"Okay, there's no ""I"" in ""team."""
1130,"- There is one in ""dickhead"" though."
1131,"- Man, shut up."
1132,"Look, Zway Lo's into drugs,weapons."
1133,He's one of Taglin's lieutenants.
1134,Taglin was found deadthe same night Mike got shot.
1135,I guess he's someone else'slieutenant now.
1136,Lorenzo Rodriguez.
1137,"No mortgage,not even a bank account."
1138,But it is his birthday tomorrow.
1139,"If he's celebrating,there's three spots for a cat like that."
1140,"Ditto, Ice 45, Zillion."
1141,Can you get into their club records?
1142,Ice 45 should up their cyber security.
1143,Okay. Ice 45.
1144,Ditto. Zillion.
1145,There. Rodriguez.
1146,- Bam.
1147,- The party's tonight.
1148,Zillion it is.
1149,"All right, we meet at the club at 2300, UC,so wear your Sunday best."
1150,This is a grab. We're in. We're out.
1151,No bodies. This raid is strictly nonlethal.
1152,Nonlethal.
1153,Has anyone informed the bad guys?
1154,ACLU rounds.
1155,Rubber.
1156,"Trust me, you'll enjoy them."
1157,You get to shoot as much as you want.
1158,"<i>Bad boys, bad boys</i>"
1159,"Hell, no."
1160,<i>Whatcha gonna do?
1161,Whatcha gonna do when we come...?</i>
1162,"Hey, hey, hey!"
1163,"- No, no."
1164,- No! No!
1165,Never. Y'all willnever do that again.
1166,"Yeah, and you fucking up the lyrics,which take a long time to learn."
1167,- Don't do that.
1168,- All right.
1169,"- No, no. Don't do that."
1170,- Seriously.
1171,- Okay.
1172,"- Sorry, sorry."
1173,Shit.
1174,- Won't happen again.
1175,- Get your own damn song.
1176,Can you believe that shit?
1177,Dumbass.
1178,"Whatever, man."
1179,Miss me with that bullshit.
1180,I got this.
1181,"Hello there, ladies."
1182,Georgio in there tonight?
1183,"- No idea who that is, sir."
1184,- The line's in the back.
1185,Nicole! Paige!
1186,Hey!
1187,- Hey!
1188,- You guys look so good.
1189,- Thank you.
1190,- Thank you.
1191,"- So beautiful. Oh, my God."
1192,- You too.
1193,"That's my Uncle Michael,and that's his pal, Uncle Marcus."
1194,You mind if they come in?
1195,He just got divorced.
1196,"- Oh, that is so sad."
1197,- Yeah.
1198,- Come on in. Come on in.
1199,- Come on.
1200,"- Hell, no."
1201,"- Come on, kids. Let's go."
1202,- Watch your step.
1203,- Yeah.
1204,"- Oh, no."
1205,"- No, yeah."
1206,- It's real.
1207,"- No, not at all."
1208,- Yeah.
1209,"- No, sir."
1210,Yeah.
1211,Yeah.
1212,"Kelly, what's the target QTH?"
1213,<i>Second level. VIP platform.</i>
1214,<i>- I have eyes on.</i>
1215,- Up top.
1216,"Hi, baby."
1217,Target confirmed.
1218,"<i>Platform is one way in,one way out.</i>"
1219,<i>We got him cornered.</i>
1220,"Man on his two-side has a 55, hot."
1221,"Stay with the A-plan. Kelly,you're on Zway Lo's bodyguard."
1222,<i>Copy.</i>
1223,"Mike, how you think she DJ like that?"
1224,She must got some strong ass muscles.
1225,"Look, I'm gonna be honestwith you, Mike."
1226,I ain't had sex in a long time.
1227,"Yeah, too long. Too long."
1228,I be thinking of shit.
1229,"- Crazy shit, Mike."
1230,- Marcus.
1231,- I feel like I'm locked up since...
1232,"- Hey, you know they can hear you?"
1233,It's too loud. They can't hear us.
1234,They can't hear us.
1235,"Look, look, sometime I go tothe Internet,"
1236,<i>and I see some weird shiton there.</i>
1237,<i>- I saw a man put his...
1238,- Marcus.</i>
1239,Marcus.
1240,What?
1241,We can hear you.
1242,That's a little jokey joke.
1243,"Y'all didn't hear that, did you?"
1244,- In position.
1245,<i>- Setting up.</i>
1246,"<i>Mike, Marcus,meet you at the top.</i>"
1247,"<i>Mike and Marcus moving,stairs right.</i>"
1248,"<i>Rita on the move,stairs left.</i>"
1249,- Everybody in position?
1250,- Set.
1251,<i>- Set.</i>
1252,- Set.
1253,"<i>That dress is incredible, girl.</i>"
1254,- You got style.
1255,"- Oh, hi."
1256,- Thank you.
1257,- Yeah.
1258,Stand by. Stand by. Stand by.
1259,<i>I can't. I'm herewith my girlfriends.</i>
1260,"They can come too, baby."
1261,I can't tonight.
1262,"Knee him in his balls,and let's go."
1263,- From Tétouan.
1264,- From Tétouan.
1265,"- Bye, baby."
1266,"- Bye, baby."
1267,Why'd she wear that dress?
1268,That is not a undercover dress.
1269,You should've wore something...undercover.
1270,Happy birthday.
1271,"Yo, yo, yo! Everybody,let's make some noise!"
1272,We got a special guestin the house!
1273,"It's his birthday! Let's wish hima birthday on one! Three, two, one."
1274,Happy birthday!
1275,"We love you, Zway Lo!"
1276,Hey! Yeah!
1277,<i>- Zway Lo! Zway Lo!</i>
1278,"- Top of the world, baby!"
1279,<i>- Zway Lo! Zway Lo!</i>
1280,"- Happy birthday, dickhead."
1281,- Yeah!
1282,- Yeah!
1283,- Yeah! Yeah!
1284,- Yeah!
1285,- Yeah.
1286,"- You going to jail today, motherfucker."
1287,"When I say ""criminal,"
1288,"""you say ""jail."""
1289,- Criminal.
1290,- Jail.
1291,Miami PD! Freeze.
1292,- Damn!
1293,- Damn!
1294,I told you he was an athlete.
1295,- We gotta jump.
1296,- I'm not jumping.
1297,- He's getting away! Jump now!
1298,- Shit!
1299,Zway Lo!
1300,Get out of the way!
1301,I need this. I need it.
1302,"Excuse me, sir."
1303,- What you doing?
1304,- Excuse me.
1305,"- Hey, hold on!"
1306,- Official police business.
1307,"- Hey, that's my car!"
1308,- This is the police.
1309,Back up!
1310,- What the fuck?
1311,- Come on!
1312,It is of no advantage for me to jump offof the fucking thing if you're gonna take the stairs!
1313,I told your ass I wasn't jumping!
1314,<i>Zway Lo just turned lefton 2nd Ave.</i>
1315,Shit!
1316,- Putting your seat belt on?
1317,- Yeah.
1318,- That's how we do it now?
1319,- You're damn right.
1320,- Number one's on my ass!
1321,<i>- Crossing 395 into Overtown.</i>
1322,"Whoa, Mike. Overtown's a no-go."
1323,<i>Zway got people here.
1324,Dangerous people.</i>
1325,We're dangerous people.
1326,"Shit, whoa!"
1327,"Damn Nerf gun,rubber bullet bullshit."
1328,"They shooting slugs,we firing gummy bears."
1329,"Mike, pull over for a minute."
1330,I need to tell you something.
1331,- Pull over?
1332,- Yeah.
1333,- One second. Let me see if Zway will pull over. Zway Lo!
1334,- Yeah. Yeah.
1335,Marcus needs to pull over for a second!
1336,"Hey, can we get a time-out?"
1337,"- Damn it, Mike, I need to tell you something!"
1338,- What?
1339,I made a promise to God.
1340,- To who?
1341,- To God.
1342,What the hell are you talking about?
1343,"Look, I told the Lord thatif you made it throughthat I would make no more violence."
1344,He definitely knew you was bullshittingwith that. Violence is what we do.
1345,"It's about your soul, Mike."
1346,Our job is to protect and serve.
1347,You're damn right. I'm aboutto serve this bitch right now.
1348,"- Oh, shit! What...?"
1349,"- Oh, shit."
1350,"Oh, look at that!"
1351,Damn!
1352,That is some Elephant Man shit right there.
1353,"Yo, you see that?"
1354,"- Yeah, I see it."
1355,"- Hey, stop it."
1356,"- It's calling me, Mike."
1357,- What?
1358,- Leave it... Stop it.
1359,"- I can't help it, but it's calling me."
1360,Stop. What the hell is wrongwith you? Just leave it alone.
1361,"Yo, leave it alone."
1362,Leave... Marcus.
1363,"- You're gonna pop that shit, man."
1364,- That shit nasty!
1365,- Then leave it alone.
1366,"- Oh, shit."
1367,Damn.
1368,- Just leave it alone! Let's...
1369,"- No, one more time. One more again."
1370,Overtown is waking up.
1371,Let's go.
1372,"<i>- AMMO, where you at?</i>"
1373,- Got jammed up. Hitting Overtown now.
1374,Gear up.
1375,Come on.
1376,Fuck!
1377,We got your man!
1378,- Shit!
1379,- I'll kill his ass!
1380,"Oh, shit!"
1381,Stop it!
1382,"Wake up, Zway Lo!"
1383,Wake up! Wake up!
1384,Wake your ass up!
1385,Coach Burnett?
1386,Dickhead.
1387,Still think I'm a dickhead?
1388,"- Zway Lo, who wants to kill me?"
1389,"- Shit, everybody wanna kill you."
1390,"Yeah, I told you, Mike."
1391,Forget about me!
1392,Kill them both!
1393,What's he saying?
1394,Kill them both!
1395,What's he saying?
1396,- Y'all both dying tonight.
1397,"- Coming up, Marcus."
1398,"Oh, shit."
1399,"Thank you, God!"
1400,Why'd you let him get away?!
1401,Lay suppression fire!
1402,"- Oh, shit!"
1403,- Get in!
1404,- There's a pit bull!
1405,"- Hey, come on!"
1406,"Wanna get bit, you wanna get shot?"
1407,Come on! Let's go!
1408,"- Oh, shit."
1409,- What you got?
1410,It's like an angrywhite man's basement in here.
1411,"- Shit, a fucking grenade."
1412,- Pull it.
1413,- Pull it!
1414,- This ain't fucking Vietnam!
1415,"- Hang on to it, then."
1416,"- Damn you, Mike!"
1417,"Oh, shit!"
1418,"Come on, man!"
1419,What else you got?
1420,"Oh, yeah!"
1421,Shoot that shit!
1422,"No, no, Mike! I made a promiseto God! No more violence."
1423,- Who do you think sent you that weapon?
1424,- I don't know!
1425,That is God's gun!
1426,- It is?!
1427,- Sent to you in your time of need.
1428,"- Well, shit! I do need it right now!"
1429,- Yes. You are a vessel for the Lord's work.
1430,"- Yeah, I'm a vessel."
1431,- Like David and Goliath.
1432,"- Yeah, David with the slingshot."
1433,- Yes! That is your slingshot!
1434,- Yeah!
1435,- To smite thine enemies!
1436,"- You know what? Bad boys of the Bible, baby!"
1437,- Exactly!
1438,- Amen? Amen?
1439,- Amen! Amen!
1440,- Shit!
1441,- Where are your glasses?
1442,- I don't need no damn glasses!
1443,- You ain't hitting shit!
1444,Let's go!
1445,Shit!
1446,Get that ATV!
1447,I got the six!
1448,Yes!
1449,No!
1450,Mike! Mike! Mike!
1451,What the hell you doing?!
1452,"Lord, I don't wanna die this way!"
1453,- Mike!
1454,"- Oh, shit!"
1455,"- My bad, my bad."
1456,"- Damn right, that's your bad!"
1457,"Oh, shit."
1458,"Oh, shit!"
1459,"Oh, shit!"
1460,Mike! Mike!
1461,Move!
1462,Get out of the fucking way!
1463,"Hey, Dorn. I need you."
1464,"Hey, hey, look."
1465,I been there before. Many times.
1466,It's gonna be all right.
1467,That's Zway Lo's phone.
1468,Can you break it?
1469,- Yeah. What am I looking for?
1470,- Who he's talking to. Call logs.
1471,And I need you to hurry upjust a little bit.
1472,"Okay, but I'm gonna have to goon the dark side."
1473,All right.
1474,You good with that?
1475,Yeah.
1476,- Yeah.
1477,- Yeah. Let's do it.
1478,"Dorn, he's a big guy."
1479,- How'd he get so good at this stuff?
1480,- What stuff?
1481,Tech shit.
1482,- He looks like a killer.
1483,- Is.
1484,Used to be a bouncer.
1485,Guy one night was gettingphysical with a woman...
1486,"Yeah, big man lost it. Hit him."
1487,- Bastard dropped dead.
1488,- Avoided the fight ever since.
1489,Here we go.
1490,Give me the last two months.
1491,Shit.
1492,Mexico.
1493,What are you after here?
1494,"All right. To each one of those numbers,"
1495,I need you to text the phrase:
1496,Done.
1497,All right. I got it.
1498,Thank you.
1499,- You sure?
1500,- I got it. Go.
1501,We're shut down.
1502,- What?
1503,- What do you mean?
1504,AMMO's done.
1505,I'm sorry.
1506,"Look, everything's gonna be all right."
1507,"Trust me on this, okay?"
1508,Everything's gonna be all right.
1509,Mike.
1510,You all right?
1511,I think he's my son.
1512,What?
1513,"Twenty-four years ago,before we partnered up..."
1514,Captain Howard pulled me outof the academy.
1515,Nobody knew who I was.
1516,He sent me in undercoverwith the Aretas cartel.
1517,<i>Sorenson.</i>
1518,<i>Weber.</i>
1519,<i>Vargas. Carver.</i>
1520,All of the victims were on that case.
1521,This is revenge.
1522,"- Yeah, Mike, but you weren't on that case."
1523,- My name wasn't on it.
1524,That's how deep I was.
1525,I was Ricky Rollins.
1526,Benito Aretas.
1527,"He's dead, Mike. He ain't after you."
1528,Not him.
1529,His wife.
1530,Isabel.
1531,I was her driver.
1532,We connected so... deep.
1533,We talked about everything.
1534,She showed me the whole game.
1535,"How to walk it, how to talk it,put clothes on it."
1536,She made Mike Lowrey.
1537,We fell in love.
1538,- Are you telling me the one time that you...?
1539,- Isabel Aretas.
1540,The one time.
1541,Takedown was coming.
1542,"DEA, ATF, everybody."
1543,And I was gonna ghostthe whole operation.
1544,Me and Isabel were gonna run awaywith each other.
1545,What made you change your mind?
1546,They call her <i>La Bruja.</i>
1547,The Witch.
1548,<i>She is into some dark shit.</i>
1549,<i>Santa Muerte.</i>
1550,That woman...was a stone-cold killer.
1551,<i>So I had to put the woman I love behind barsfor the rest of her life.</i>
1552,"Chose the badge, and I've beenchoosing it ever since."
1553,"Mike, you fucked a married witch?"
1554,"So all the shit I just said,and that was your takeaway?"
1555,"No, it's just a lot to digest."
1556,You think you know somebody and...
1557,"Hell, now it explainswhy you dress like a drug dealer."
1558,- So you wanna hear this shit or you don't?
1559,- Sorry.
1560,"But you don't know that's your son, Mike."
1561,You don't know who that witch was fucking.
1562,Benito Aretas couldn't have kids.
1563,"Isabel gave birth in prison,eight months after her arrest."
1564,He said that to me before
1565,I jumped from the chopper.
1566,<i>Me and Isabel made that up.</i>
1567,<i>It's not even real Spanish.
1568,It's some shit we said to each other.</i>
1569,"<i>It meant like,"
1570,"""We'll be together until we burn.""</i>"
1571,The traitor is coming.
1572,Get prepared.
1573,We will.
1574,Let's go!
1575,"- Nah, Mike."
1576,"- Marcus, he's the right age."
1577,<i>He's crazy like me. He's ruthless like me.
1578,He's fearless like me.</i>
1579,He's the fucked-up me.
1580,"No, Mike."
1581,You the fucked-up you.
1582,You jumping to conclusions.
1583,All right?
1584,Shit's gonna work itself out.
1585,You gotta trust that.
1586,Yeah...
1587,You're right.
1588,"Oh, man."
1589,"I love you, man."
1590,"I love you, man."
1591,- I gotta go. All right?
1592,- Mike.
1593,Mike.
1594,"Let me get past you there, sir."
1595,Sorry there. Excuse me.
1596,Excuse me.
1597,That's the right spotfor me right there.
1598,"Excuse me, sir."
1599,Seat right there.
1600,Let me get by you. Watch your toes.
1601,Watch your toes there.
1602,It's all right.
1603,There you go.
1604,"No, Marcus."
1605,"I'm not letting you go ona suicide mission alone, Mike."
1606,This is on me.
1607,I'm not letting anybody else get killeddealing with my shit.
1608,"Mike, she's a <i>bruja.</i>"
1609,She'll make your eyes meltinto your stupid-ass head.
1610,She'll make your dick fall off.
1611,I meant penis. You should be mindingyour own business anyway.
1612,"Marcus, please go home."
1613,We fly together. We die together.
1614,- What?
1615,"- Oh, no."
1616,That's just something we say.
1617,It's all good. It ain't...
1618,I can see how that goty'all a little...
1619,Where y'all from? Where you from?
1620,"So, what you gonna do when you see him?"
1621,You really gonna put your son behind bars?
1622,No. I'm gonna kill him.
1623,"Kill him? You really gonnakill your own son, Mike?"
1624,I'm gonna put himin a fucking bag.
1625,- You mind if we switch seats?
1626,"- Yeah, please."
1627,Excuse me.
1628,You realize you willgo to hell?
1629,"- I don't believe in hell, Marcus."
1630,"- Well, it believes in you."
1631,"I mean, killing your own son."
1632,"Brother, that's a darknessthat swallows you whole."
1633,"Well, maybe I already been swallowed."
1634,"I died, remember?"
1635,"I'm ending this shit, man."
1636,I should have knownhe was your son.
1637,"Because the wayhe whupped your ass, Mike."
1638,That was a ass-whupping straightfrom thy own loins.
1639,A supernatural ass-whupping.
1640,Can I be the godfather?
1641,"- You know what you can be, Marcus?"
1642,- What?
1643,Quiet.
1644,"- Oh, I should be quiet?"
1645,- Yeah.
1646,"All right, you just hada warlock baby with <i>La Bruja,</i>who's trying to kill your ass,probably mine too,sucking our blood and all of that shit,but I should be quiet."
1647,Yeah.
1648,"Yeah, okay, Mike."
1649,How you fuck a witchwithout a condom?
1650,"You wrap that shit up, man."
1651,"- Hey, my man. We need to change seats."
1652,- Yep. Okay.
1653,Mike <i>y</i> Marcus.
1654,This makes us even for Miami.
1655,"Yo, we hot."
1656,- You called them again.
1657,"- Hey, Rita called me."
1658,"- What's up, fellas?"
1659,- Hey.
1660,Hey. Hey.
1661,I feel better when they're here.
1662,"Yeah, me too."
1663,- Where'd you get all the toys?
1664,- DEA station in Cuernavaca.
1665,"We capture her,they take the credit."
1666,"Get ourselves killed,they've got nothing to do with it."
1667,All eyes on me.
1668,I'm the bait. We meet at Hidalgo Palace.
1669,It's an old hotel outside the city.
1670,I'll keep her talkingtill you guys spot the shooter.
1671,- What if she just shoots you?
1672,"- Nah, she's gonna wanna talk."
1673,We... have history.
1674,"Okay. Snatch and grab. We get them,and we're on a plane to the States by dawn."
1675,"Dorn, get a floor-plan satellite image."
1676,We'll have eyes on the outside and...on the inside.
1677,Hey. Nobody touches the shooter.
1678,He's mine.
1679,"Yes, he is."
1680,"You coloring a little bit outsidethe lines today, huh?"
1681,Don't die.
1682,You make sure we both come home.
1683,Still no identifiable threats.
1684,Monitoring all channels inside.
1685,"Jamming everything outside, in casethey're running countersurveillance."
1686,There's no way she's here alone.
1687,It's the cartel.
1688,She's gonna have serious backup.
1689,Marcus is moving towards the back.
1690,"Marcus, we're coveringyour position from the sky."
1691,Still nothing.
1692,Moving in closer.
1693,"Hola, Ricky."
1694,Or should I call you Mike?
1695,"Hola, Isabel."
1696,Not very thorough.
1697,There was a time when touching mewould have melted you.
1698,I'm gonna kill her myself.
1699,Keep it.
1700,Where is he?
1701,<i>This used to be our place.</i>
1702,I wanted you dead...but you survived.
1703,Perhaps I made you too strong.
1704,Or perhaps...
1705,Santa Muerte istelling us something.
1706,We were fatedto meet one more time.
1707,This is some real telenovela shit.
1708,I've taken care of that.
1709,Shit.
1710,I just lost all comms.
1711,- Fuck. AMMO?
1712,"- Marcus, come in."
1713,- Shit.
1714,- They're jamming us.
1715,- They know that we're here.
1716,- This is fucked.
1717,- I can't get back in.
1718,- Still got Baby Barry on an outside frequency.
1719,It's just us now.
1720,Why didn't you tell me
1721,I had a son?
1722,What would you have done?
1723,Taken care of him.
1724,Like you took care of me?
1725,It was gonna be a surprise.
1726,After we ran away.
1727,I'm seeing tactical movement. I've got
1728,20 to 30 threats forming a perimeter.
1729,We gotta go.
1730,- Alt points of entry?
1731,- Here.
1732,That cold airflow could bea laundry exhaust.
1733,How could you do this to our son?
1734,My son.
1735,Who does he think I am?
1736,Exactly who you are:
1737,"The coward, the traitor..."
1738,Don't do this.
1739,"Keep it moving, detective."
1740,You see that?
1741,Drop it.
1742,Let's go!
1743,What you gonna do?
1744,"No <i>""el suego.""</i>"
1745,"That means fire, right?"
1746,"No, no <i>""cate.""</i>"
1747,You and this man need to talk.
1748,- It's some life-changing shit.
1749,- Shut the fuck up.
1750,- Easy on the barrel! Easy! No. Mike.
1751,"- Marcus, relax."
1752,It's lack of communicationthat got this shit fucked up.
1753,"He needs to tell you something. You ain'tgonna like it, but you need to hear it."
1754,"Oh, shit!"
1755,"Yo, Mike, they're moving upto the chopper!"
1756,Marcus!
1757,- Put your glasses on!
1758,- What the hell was that?
1759,That was a bad throw!
1760,"Yo, Mike, careful!"
1761,- You were right about the glasses.
1762,- I been telling your ass that shit for years.
1763,"Shit, this is like HD!"
1764,Go! Go! Go!
1765,Contact! Twelve o'clock!
1766,"Go! Go, go, go!"
1767,"Hey, Isabel and the shooterwent up the stairs."
1768,Can you cover us?
1769,- Kelly! Flank right!
1770,- Copy!
1771,"- Rafe, pan left! Push!"
1772,- Copy that!
1773,"- Dorn, follow Rafe!"
1774,- Yup!
1775,"Hey, big man."
1776,I'm gonna need you to hurt some people.
1777,"I'll pay for the therapy, all right?"
1778,I'm gonna need it. Seriously.
1779,"Yeah, I got you."
1780,I'll hold the middle...
1781,- and you push hard for the stairs.
1782,- Push hard for the stairs.
1783,Yeah.
1784,"Hey. It's good shit, lieutenant."
1785,"You too, detective."
1786,You ain't such a dumbass after all.
1787,On me!
1788,Go!
1789,Transition!
1790,Go!
1791,Shit.
1792,- Shoot!
1793,- Take them both!
1794,"Right there, right there!"
1795,Where the hell they gettingall these helicopters?
1796,Mike!
1797,- Take out the pilot!
1798,- Take out the rotor!
1799,- What are you aiming at?!
1800,- The pilot!
1801,Aim at the rotor!
1802,If you shoot the pilot...
1803,Got him!
1804,"Oh, shit!"
1805,"Shit. You got a fucked-up family,"
1806,Mike.
1807,The building's coming down!
1808,We gotta move!
1809,Mike! Marcus!
1810,Shit.
1811,"On your knees, Isabel. Get down."
1812,Mike!
1813,Let that be a lessonto your witch ass.
1814,Armando...you're my son.
1815,You're my son.
1816,I don't wanna fight.
1817,Stay down.
1818,"I said, stay down."
1819,I didn't know.
1820,If I had known...
1821,"Mike, what are you doing?"
1822,I'm trying to penetrate his soul...with my heart.
1823,No.
1824,"No, Mike, no."
1825,I was going through something.
1826,Who are you?
1827,I told you.
1828,Liar.
1829,Last chance.
1830,Who are you?
1831,Ask your mother.
1832,Is it true what he says?
1833,It doesn't matter.
1834,He's nothing to you.
1835,"Hey, y'all seeall this <i>fuego?</i>"
1836,Can we take this shit outside?
1837,Who is he?
1838,- Tell him!
1839,"- Tell him, mama."
1840,Is he my father?
1841,Is he my father?!
1842,Yes.
1843,Kill him.
1844,"- No, no, wait, wait, wait..."
1845,- Shit.
1846,Lay down. Down. Down.
1847,"Oh, shit."
1848,"Mike, we gotta go."
1849,Mike! Gotta move! Now!
1850,Mike! We gotta go!
1851,Hold me! Hold me!
1852,"Oh, shit!"
1853,Mike! Don't let me go!
1854,"Don't let me go! Oh, shit!"
1855,Hold on. I got you.
1856,Mike! I can't get to you!
1857,I can't hold on.
1858,"Pull me up! Mike,"
1859,I don't wanna die this way!
1860,"Oh, Mike, I'm slipping."
1861,Come on!
1862,Hurry!
1863,I can feel my ass cooking!
1864,Come on.
1865,Let's go! We gotta move!
1866,"Gunshot wound, upper chest!"
1867,We need medical!
1868,- En route!
1869,- All right.
1870,"- It's okay, I got him."
1871,- Put him down.
1872,- We need a trauma dressing.
1873,- Right.
1874,Relax.
