,dialog
222,That's the bank's money.
223,We can trace that.
224,They're trying to raise a certain amount.
225,That's my guess.
226,It's gonna take a few banks to get there.
227,Your boys know how rich they're gonna be?
228,They don't know anything yet.
229,You take them to the funeral?
230,"Like I said, they don't know anything."
231,When's the last time you saw them?
232,When we all went to the rodeo in Stamford right after you got out.
233, That was a year ago.
234, I talk to them on the phone.
235,You talk to them on the phone?
236, You want a little advice?
237," No. No, I don't."
238,Go see them tomorrow.
239,You got any idea how much I owe Debbie in child support?
240,You've got enough in your front pocket to fix that problem right now.
241,"We can't spare it, you know that."
242,Maybe we should hit another branch.
243,"You know, you talk like we ain't gonna get away with this."
244,"I've never met nobody who got away with anything, ever."
245,You?
246,Then why in the hell did you agree to do it?
247,"Because you asked, little brother."
248,I got to shit like an old goat.
249,"Grab the check, meet me out front."
250,"Well, if that isn't a hint, I don't know what is."
251, You like your steak?
252," Yes, ma'am."
253,"Well, you've got a ways to go yet."
254,"Yeah, you'll be waiting around all day for me to finish this."
255,"I'll be here whether you finish it or not, so..."
256,you take your time.
257,Sure is quiet in here.
258,Open the drawer.
259,"Fives, 10s, 20s."
260,Fan them out like a deck of cards.
261,What do you do?
262,Last job was for a...
263,natural gas company.
264,Sounds highdollar.
265,"No, there ain't nothing highdollar about drilling."
266,"No one seems to be drilling for gas now, anyway."
267,They're sure drilling for oil.
268,"I mean, ain't one drill the same as the next?"
269,That's my take on it.
270,Guess I got to get someone else to believe me.
271,Son of a bitch!
272,We could use a cook.
273,Just a thought.
274,"Order's up, Jenny Ann."
275,Bye.
276,Start the car!
277,Shit!
278,Fuck! Shit!
279,"Go, go, go!"
280,I bet you don't owe this much in child support.
281,I must be out of my goddamn mind to ask you for help.
282,You wanna get us killed?!
283,Huh?!
284,That's not a Midlands Branch.
285,That's not part of the plan.
286,"Now, we got to go back to the ranch and bury the car."
287, Fuck!
288," No, we do not."
289,We're over halfway to Oklahoma.
290,I'm not driving a stolen getaway car to a fucking Indian casino.
291,You just put us a goddamn day behind.
292,"Well, I got us a day ahead this morning, so I guess we're even."
293, You're welcome.
294, Fuck you.
295,Can't you answer your own phone?
296,I'm driving. You're just sitting there twiddling your fat fingers.
297,Ranger Hamilton's phone.
298,It's reckless is what it is.
299,"It's tweakers, I'm telling you."
300,I don't think these boys is reckless.
301,Damn sure ain't tweakers.
302,They know exactly what they're doing.
303,I don't know how you're gonna survive without somebody to outsmart.
304,"You need a hobby, and quick."
305,How about a horse?
306,Mary Beth was the rider.
307,A horse would only remind me of her.
308,You like to fish.
309,Not enough to do it every goddamn day.
310,"Yeah, when I retire, I'm gonna move Esme and me down to Galveston."
311,Buy a fishing boat.
312,Gonna live on that son of a bitch right at the pier.
313,"Oh, who knows?"
314,Maybe one of these bank robbers is gonna want a gunfight and I can dodge my retirement in a blaze of glory.
315,"Well, I've seen you shoot."
316,There won't be much glory in it.
317,"Oh, well, I'm lucky I got a halfbreed by my side to avenge me."
318,"If you can stay sober long enough, knowing how you lnjuns like the bottle."
319,Whoa.
320,Hey!
321,What you all doing?
322,You burning this field?
323,Why in the shit would we do that?
324,"This kicked up on the highway, been chasing us ever since."
325,Wish we could do something for you.
326,"Ought to just let it turn me to ashes, put me out of my misery."
327,Cut that fence.
328,to the river with a herd of cattle.
329,And I wonder why my kids won't do this shit for a living.
330,Move 'em out.
331,Come on.
332,"Go, go! go You wanna call it in?"
333,"Oh, it's gonna burn out when it hits the Brazos."
334,"No one to call around here, anyway."
335,"No, these boys is on their own."
336,"I still don't see the problem, Toby."
337,You still don't...
338,"Well, the problem is, thanks to you, we have to spend tomorrow morning getting another car, so we'll have to hit two banks on Wednesday."
339,We already done three today.
340,Stop worrying.
341,Whose land is this?
342,Jeremy Chalker.
343,He lets me stay here in exchange for shooting coyotes.
344,Cold beer in the fridge.
345,You stole my hat.
346,I borrowed it.
347,What the fuck you do to it?
348, What's this?
349, My livelihood.
350,We don't need all this.
351,Can't keep the guns in the trailer days on end.
352,That's not coming with us in the bank.
353,Just spoke to the teller.
354,She's a little shook up.
355,"Perp took her driver's license, threatened her family if she talked to us."
356,"Mind if I ask you your name, young lady?"
357,Natalie Martinez.
358,"Well, Natalie, I want you to know we're gonna have some officers watching your house extra careful till we catch these buggers."
359,You have my word on that.
360,There's more than one?
361,Only one man robbed the bank?
362, Yeah.
363, What'd he look like?
364,He was dressed like a cowpoke except for the ski mask.
365,I think he ran to a car that was parked out front of the diner.
366,You saw the car?
367,It was green.
368, How old?
369," I don't know cars, mister."
370,"Well, was it a nice car, an okay car, or a real piece of shit?"
371,It was a real piece of shit.
372,All right.
373,"Now, we're getting somewhere."
374,"Oh, that looks like a man who could foreclose on a house."
375,"Excuse me, Natalie."
376,"Excuse me, Mr. Banker."
377,"Natalie, I'm gonna have the officer stay with you till your father arrives."
378, All right?
379, Okay.
380,"Didn't happen to have your surveillance cameras on this morning, did you?"
381,Of course.
382,"Oh, so you have the robbery on video."
383,Of course we do.
384,What kind of bank would we be if we didn't have video surveillance?
385,"Oh, you'd be a Texas Midlands Bank."
386,"All right, we've got video."
387,Care to give it a watch while I wander over to the burger joint?
388,Would you order me something while you're there?
389, L'm starving.
390, I doubt they serve pemmican.
391,"You know I'm part Mexican, too."
392,"Yeah, well, I'm gonna get to that when I'm through with the Indian insults, but it's gonna be a while."
393,You rangers are an odd bunch.
394,"No, just him."
395,Let's take a look at that video.
396,"Yeah, it's right back here."
397,Howdy.
398,Ma'am.
399,Guess you know about the goingson at the bank.
400,I did notice.
401,Any outoftowners come through today?
402,"Jenny Ann waited on a couple of boys, ain't from here."
403,Oh?
404,I'll go get her.
405,Appreciate that.
406,Boys.
407,Y'all been here for a while?
408,"Well, long enough to watch a bank getting robbed that's been robbing me for 30 years."
409,"Oh, you say you've seen them?"
410,I'm pretty sure they were sitting right over there having lunch.
411,One of them was tall.
412,The other one was short.
413,They's both lean like cowboys.
414,Looked like brothers if you ask me.
415,You the Texas Ranger?
416,"Yes, ma'am."
417,Tell me about those handsome young strangers that you waited on.
418,Who said handsome?
419,I did.
420,"Based on the fact that you didn't meet me in the parking lot, hollering about the two outoftowners eating here right before a bank robbery."
421,"Well, they didn't mention they was robbing the bank."
422,They paid cash?
423,That a crime now?
424,How much did they leave?
425,How much?
426,$200.
427,"And they left it before the bank was robbed, so..."
428,"Uh, before this bank was robbed."
429,I'm gonna need to see them bills.
430, Ma'am.
431, Mmmm.
432,"Ma'am, them bills is evidence."
433,"Mmmm, it's evidence if they're the bank robbers."
434,"Till then, it's my tip."
435,And half my mortgage.
436,"So, you go out there and you get a warrant, and you come after the money that I will be using to keep a roof over my daughter's head."
437,"One man hit the bank, just like she said."
438, Yeah.
439," Checkered buttondown shirt, jeans, ski mask."
440, That's all the video will tell us.
441, Yep. Yep.
442,Checkered shirt.
443,That is him.
444,They were sitting right over there.
445,Tipped her $200.
446,Go wrestle a description from that big sassy girl in the kitchen.
447,You didn't get it yourself?
448,"Oh, and get that tip from her."
449,We're gonna check them bills.
450,Good luck.
451,"Yeah, I'd expect some resistance."
452,"Oh, and, Alberto, call that motel on 287, get us a room."
453,We're gonna stay the night?
454,"Well, this is where the action is."
455,Seems foolish.
456,What's that?
457,The days of robbing banks and trying to live to spend the money...
458,they're long gone.
459,Long gone for sure.
460,What does Justin want to do when he's grown?
461,Right now he's dreaming of slinging a football for A&M.
462,He's a lot like you.
463, I bet that puckers your red eye.
464, More than you know.
465,"If he turn left where I turned right, he'll be okay."
466,Let the world call me a fool Things are right with me and you Yaw.
467,Yaw.
468,You want anything?
469,"Dr Pepper, Winston Lights."
470,It's okay.
471,Come on.
472,What?
473,"What, bitch?"
474,"You looking for trouble, motherfucker?"
475,You came to the right place.
476,"Boy, you'd think there were 10 of me."
477,"Oh, yeah?"
478,"Not so fucking tough now, are you, bitch?"
479,"Hey, man, he had it coming."
480,He had it coming.
481,He had it coming.
482,You got some spunk left in you.
483,"Oh, you remembered the gun."
484,You're getting to be old hat at this.
485,Asshole could've killed you.
486,"Ah, not the way it would have gone, little brother."
487,Are you trying to make me mad?
488,I said Dr Pepper.
489,This is Mr. Pibb.
490,That's all they had.
491,Only assholes drink Mr. Pibb.
492,Drink up.
493,Hello.
494,No!
495,Now we're talking.
496,The women in this place.
497,What the hell you talking about?
498,We should get another shot.
499,They'll be pretty soon enough.
500,"Bartender, whiskeys if you please."
501,Coming UP To your boys.
502,Let's go change that money.
503,Sorry.
504,I just sold my car.
505,This is how the fella paid me.
506,"We take it any way you bring it, mister."
507,Wanna play some poker?
508,I don't gamble.
509,"You can't lose at poker, not even you."
510,I'm gonna watch the Aggie game and have a beer.
511,"All right, suit yourself."
512,"Come on, now."
513,Suck a D.
514,Don't lose it all.
515,Eat my A!
516,Fucking asshole.
517,"That's, uh that's quite a stack."
518,Check?
519,"Don't chase me, chief."
520,You Comanche?
521,Lords of the Plains.
522,Lords of Nothing now.
523,I call.
524,"Show your cards, gentlemen."
525,Do you know what Comanche means?
526,It means enemies forever.
527,Enemies with who?
528,Everyone.
