,dialog
196,It was printer toner mixed with graphite on the safe.
197,It gives a good pull and it's untraceable.
198,Fascinating. You two should exchange notes over coffee.
199,You're trying to set me up with a jewel thief?
200,"At this point, I'd set you up with a chimpanzee, if it brought you back to the world."
201,There's nothing out there for me.
202,And that's the problem.
203,You hung up your cape and your cowl but you didn't move on.
204,You never went to find a life.
205,To find someone.
206,Alfred...
207,...I did find someone.
208,"I know, and you lost them."
209,"But that's all part of living, sir."
210,"But you're not living, you're just waiting, hoping for things to go bad again."
211,Remember when you left Gotham?
212,"Before all this, before Batman?"
213,You were gone seven year.
214,"Seven years I waited, hoping that you wouldn't come back."
215,"Every year, I took a holiday."
216,I went to Florence.
217,There's this caf̩ on the banks of the Arno.
218,Every fine evening I'd sit there and order a Fernet Branca.
219,I had this fantasy...
220,...that I would look across the tables...
221,"...and I'd see you there, with a wife."
222,Maybe a couple of kids.
223,"You wouldn't say anything to me, nor me to you."
224,But we'd both know that you'd made it.
225,That you were happy.
226,I never wanted you to come back to Gotham.
227,"I always knew there was nothing here for you, except pain and tragedy."
228,And I wanted something more for you than that.
229,I still do.
230,They wash up here a couple of times a month.
231,More when it gets colder.
232,"Homeless, sheltering in the tunnels."
233,"We pulled him from the basin, but other than that we didn't touch him."
234, What?
235, Name's Jimmy.
236,He's from St. Swithin's.
237,It's the boys' home where I coach some ball.
238,Jimmy hadn't been around for months.
239, No? Why?
240," Blake, you know why."
241,He aged out. We don't have the resources to keep boys on after 16.
242,I thought the Wayne Foundation gave money for that.
243,Not for the past couple of years.
244," He has a brother here, doesn't he?"
245, Mark. I'll tell him.
246,"I'd like to, if that's all right."
247,You know what he was doing in the tunnels?
248,Lot of guys been going down the tunnels when they age out.
249,Say you can live down there.
250,Say there's work down there.
251,Work?
252,What kind of work are you gonna find in the sewers?
253,"More than you can find up here, I guess."
254,So you know about him?
255,Of course.
256,Do you think he's coming back?
257,I don't know.
258,You brought a date?
259,I like having someone around to open doors for me.
260,Right hand. No partials.
261, Very nice.
262, Mmhm.
263,"Not so fast, handsome."
264,You got something for me?
265,"Ah, yes."
266,I don't know what you're planning to do with Mr. Wayne's prints...
267,...but I'm guessing you'll need his thumb.
268,"You don't count so good, huh?"
269,I count fine.
270,"In fact, I'm counting to 10 right now."
271,Okay.
272,"My friend's outside. Just hit ""send."" This place is a little dead."
273,It'll liven up in a minute. Trust me.
274,Is everything okay?
275,Great. Catch you later.
276,Hmm.
277,It would have been a lot easier...
278,...to just give me what we agreed.
279,We can't have loose ends.
280,"And even in that dress, no one's gonna miss you."
281,No.
282,But my friend over there?
283,Every cop in the city's missing him.
284,That's cute.
285,But they're not gonna be looking in a place like this.
286,I don't know.
287,You did just use his cell phone.
288, Go!
289, Go!
290,Police! Get down now!
291,Help me! Help me!
292,"Help me, please! Please help me!"
293,"Keep some pressure on that, sweetheart."
294,Call me?
295," You okay, miss?"
296, He's bleeding. You gotta help him.
297,I got the congressman.
298,Clear!
299,Manhole! Get this up! Get the DWP down here!
300,"You three, down with me."
301,"You two, you go down, cover the next exit!"
302,"What, they went down there?"
303," We're gonna go down there, right?"
304," That was a gas explosion, kid."
305, Wasn't gas. It's a sewer.
306, No one goes in till we know what's there.
307,"We know, sir. The police commissioner."
308,Someone get this hothead out of here?
309,And where's that DWP guy?
310,Why are you here?
311,Answer him.
312,I was asking you.
313,It's the police commissioner.
314,And you brought him down here?
315, We didn't know what to do  You panicked.
316,And your weakness has cost the lives of three others.
317,"No, he's alone."
318,Search him.
319,Then I will kill you.
320, He's dead  So show me his body.
321,The water runs to any one of the outflows.
322,We'd never find him.
323, Follow him!
324, Follow him?
325,You okay? You okay?
326,"Hey, hey, you awake?"
327,I need to see Bruce Wayne.
328,"I'm sorry, Mr. Wayne doesn't take unscheduled calls."
329,Even from a police officer.
330,And if I go get a warrant for the investigation of Harvey Dent's murder?
331,That still count as unscheduled?
332,"What can I do for you, officer?"
333,Commissioner Gordon's been shot.
334,He chased a gunman down into the sewers.
335,"When I pulled him out, he was babbling about an underground army."
336,A masked man called Bane.
337,Shouldn't you be telling your superior officers?
338,They asked me if he saw any giant alligators.
339,He needs you.
340,He needs the Batman.
341, If Commissioner Gordon thinks...
342," Oh, he doesn't know or care who you are."
343,But we've met before.
344,It was a long time ago. I was a kid.
345,"Uh, St. Swithin's."
346,It used to be funded by the Wayne Foundation. It's an orphanage.
347,"My mom died when I was small. It was a car accident, I don't really remember it."
348,But my dad got shot a couple years later over a gambling debt...
349,...and I remember that one just fine.
350,"Not a lot of people know what it feels like, do they?"
351,To be angry...
352,...in your bones.
353,"I mean, they understand."
354,Foster parents.
355,Everybody understands...
356,...for a while.
357,And then they want the angry little kid to do something he knows he can't do.
358,Move on.
359,"So after a while, they stop understanding."
360,They send the angry kid to a boys' home.
361,I figured it out too late.
362,You gotta learn to hide the anger.
363,Practice smiling in a mirror.
364,It's like putting on a mask.
365,"So you showed up this one day, in a cool car."
366,Pretty girl on your arm.
367,We were so excited.
368,"Bruce Wayne, billionaire orphan."
369,"I mean, we used to make up stories about you, man. Legends."
370,"And, you know, with the other kids, that's all it was, just stories, but..."
371,"Right when I saw you, I knew who you really were."
372,I'd seen that look on your face before.
373,It's the same one I taught myself.
374,I don't know why you took the fall for Dent's murder...
375,...but I'm still a believer in the Batman...
376,...even if you're not.
377,Why did you say that your boys' home used to be funded by the Wayne Foundation?
378,Because the money stopped.
379,Might be time to get some fresh air.
380,Start paying attention to the details.
381,Some of those details might need your help.
382,You check that name? Bane?
383,He's a mercenary. No other known names.
384,Him and his men were behind a coup in West Africa...
385,...that secured mining operations for our friend John Daggett.
386, Now Daggett's brought them here.
387, Or so it seems.
388, I'll keep digging.
389, Yeah.
390,"Alfred, why did the Wayne Foundation stop funding boys' homes in the city?"
391,The foundation is funded by the profits of Wayne Enterprises.
392,There have to be some.
393," Time to talk to Mr. Fox, I think."
394, I'll get him on the phone.
395,"No, no, no. Do we still have any cars around the place?"
396,Yes. One or two.
397,I need an appointment at the hospital for my leg.
398, Which hospital?
399, Whichever one Jim Gordon's in.
400, I have seen worse cartilage in knees  That's good.
401,No. That's because there is no cartilage in your knee.
402,And not much of any use in your elbows or your shoulders.
403,Between that and the scar tissue on your kidneys...
404,...the residual concussive damage to your brain tissue...
405,...and the general scarredover quality of your body...
406,...I cannot recommend that you go heliskiing.
407, Right.
408,We were in this together...
409,...then you were gone.
410,The Batman wasn't needed any more.
411, We won.
412, Based on a lie.
413,And now there's evil rising from where we tried to bury it.
414,The Batman has to come back.
415,What if he doesn't exist any more?
416,He must.
417,"You took my goddamn wallet, didn't you?"
418, You f... You took my wallet!
419," No, I..."
420, Get out  She took my... Ah!
421, Now!
422, Creep!
423,I don't know what he's so upset about.
424,There's only 60 bucks in here.
425,Probably the watch.
426,Who's that?
427,A stiff can barely climb out of his sports car.
428," No, that's Bruce Wayne!"
429," Mr. Wayne, over here!"
430, I'm not sure if my assistant...
431, Right through here.
432,Thank you so much.
433,Bruce Wayne at a charity ball.
434,"Miss Tate, isn't it?"
435,"Even before you became a recluse, you never came to these things."
436,The proceeds go to the big fat spread.
437,It's not about charity.
438,It's about feeding the ego of whichever society hag laid this on.
439,"Actually, this is my party, Mr. Wayne."
440,Oh.
441,"And the proceeds will go where they should, because I paid for the big fat spread myself."
442,That's very generous of you.
443,You have to invest if you want to restore balance to the world.
444,Take our cleanenergy project.
445,Sometimes the investment doesn't pay off.
446, I'm sorry.
447," You have a practiced apathy, Mr. Wayne."
448,But a man who doesn't care about the world doesn't spend half his fortune to save it.
449,And isn't so wounded when it fails...
450,...that he goes into hiding.
451,"Have a good evening, Mr. Wayne."
452,Mind if I cut in?
453,Thank you.
454, You don't seem happy to see me.
455, You were supposed to be a shutin.
456,I felt like some fresh air.
457,Why didn't you call the police?
458,I have a powerful friend who deals with things like this.
459,That's a brazen costume for a cat burglar.
460,Yeah? Who are you pretending to be?
461,"Bruce Wayne, eccentric billionaire."
462, Who's your date?
463, His wife's in Ibiza.
464,"She left her diamonds behind, though."
465,Worried they might get stolen.
466,"It's pronounced ""Ibiza."" You wouldn't want these folks realizing you're a crook, not a social climber."
467,You think I care what anyone in this room thinks of me?
468,I doubt you care what anyone in any room thinks of you.
469,"Don't condescend, Mr. Wayne."
470,You don't know a thing about me.
471,"Well, Selina Kyle, I know you came here from your walkup in Old Town."
472,A modest place for a master jewel thief.
473,Which means that either you're saving for retirement...
474,...or you're in deep with the wrong people.
475,You don't get to judge me because you were born in the master bedroom of Wayne Manor.
476," Actually, I was born in the Regency Room."
477, I started out doing what I had to.
478,"Once you've done what you had to, they never let you do what you want to."
479,Start fresh.
480,Ugh. There's no fresh start in today's world.
481,Any 12yearold with a cell phone could find out what you did.
482,Everything we do is collated and quantified. Everything sticks.
483,Is that how you justify stealing?
484,I take what I need from those who have more than enough.
485,I don't stand on the shoulders of people with less.
486,Robin Hood?
487,I think I'd do more to help someone than most of the people in this room. Than you.
488,You think maybe you're assuming a little too much?
489,Maybe you're being unrealistic about what's really in your pants other than your wallet.
490,Ouch.
491,You think all this can last?
492,"There's a storm coming, Mr. Wayne."
493,"You and your friends better batten down the hatches, because when it hits..."
494,...you're all gonna wonder how you ever thought you could live so large...
495,...and leave so little for the rest of us.
496,You sound like you're looking forward to it.
497,I'm adaptable.
498,Those pearls do look better on you than they did in my safe.
499,But I still can't let you keep them.
500,You... You scared her off!
501,Not likely.
502,Must have lost my ticket.
503, Your wife said you were taking a cab home.
504, My wife?
505,"Just you, sir?"
506,"Don't worry, Master Wayne."
507,Takes a little time to get back in the swing of things.
508,"Bruce Wayne, as I live and breathe."
509,"What brings you out of cryosleep, Mr. Wayne?"
510,You haven't lost your sense of humor.
511,Even if you have lost most of my money.
512,"Actually, you did that."
513,If you funnel your entire R and D budget...
514,...into a fusion project that you then mothball...
515,...your company is unlikely to thrive.
516,What are my options?
517,"Well, if you're unwilling to turn on the machine..."
518,"I can't. I can't, Lucius."
519,"Well, then sit tight."
520,Your majority keeps Daggett at bay...
521,...while we figure out a future for the energy program with Miranda Tate.
522,She has supported the project all the way.
523,She's smart. And quite lovely.
524,"We all just want what's best for you, Bruce."
525,Show her the machine.
526,I'll think it over.
527,Anything else?
528,Nope. Why?
529,These conversations used to end with an unusual request.
530,I retired.
531,"Mmhm. Well, let me show you some stuff anyway."
532,Just for old times' sake.
533,I figured you'd have shut this place down.
534,"Oh, it was always shut down, officially."
535,All this new stuff.
536,"After your father died, Wayne Enterprises set up 14 different defense subsidiaries."
537,"For years, I've been shuttering and consolidating..."
538,...all the different prototypes under one roof.
539, My roof.
540, Why?
541,Keep them from falling into the wrong hands.
542,"Oh, now you're just showing off."
543,Defense Department projects for tight geometry urban pacification.
544,Rotors are configured to maneuver between buildings without recirculation.
545,What's it called?
546,"Oh, it has a long, uninteresting Wayne Enterprises designation."
547,I just took to calling it the Bat.
548,"And, yes, Mr. Wayne, it does come in black."
549,"Works fine, except for the autopilot."
550,Takes a better mind than mine to fix it.
551,Better mind?
552,"Well, I was trying to be modest."
553,A less busy mind.
554,Yours.
555, Is it really painful?
556," You're very welcome to try it, Alfred."
557,"Happy watching. Thank you, sir."
558,Not bad.
559,Not bad at all.
560,If you're seriously considering going back out there...
561,...you should hear the rumors surrounding Bane.
562,I'm all ears.
563,There is a prison in a more ancient part of the world.
564,A pit where men are thrown to suffer and die.
565,But sometimes a man rises from the darkness.
566,Sometimes the pit sends something back.
567, Bane.
568, Bane.
569,Born and raised in hell on earth.
570, Born in a prison?
571," No one knows why, or how he escaped."
572,But they do know that once he did...
573,"...he was trained by Ra's Al Ghul, your mentor."
574,Bane was a member of the League of Shadows?
575,And then he was excommunicated.
576,And any man who is too extreme for Ra's Al Ghul is not to be trifled with.
577,I didn't realize I was known for trifling with criminals.
578,That was then.
579,And you can strap up your leg and put your mask back on...
580,...but that doesn't make you what you were.
581,"If this man is everything that you say he is, then the city needs me."
582,The city needs Bruce Wayne.
583,Your resources. Your knowledge.
584,"It doesn't need your body, or your life."
585,That time's past.
586,"You're afraid that if I go back out there, I'll fail."
587,No.
588,I'm afraid that you want to.
589,You can't short the stock because Bruce Wayne goes to a party.
590,Wayne coming back is change.
591,Change is either good or bad. I vote bad.
592,On what basis?
593,I flipped a coin.
594,"It says rye... I said no rye, man."
595,"Hey, rookie, lose the helmet."
596,We need faces for camera.
597,Come on. Let's go scalping.
598,Come on.
599,"Everybody down, now!"
600,This is a stock exchange.
601,There's no money you can steal.
602,Really? Then why are you people here?
603,"Everybody, stay back! Go down to the end of the block!"
604,We have an emergency situation!
605,You gotta get in there!
606,This is a hostage situation.
607,"No, this is a robbery. They have direct access to the online trading desk."
608,I'm not risking my men for your money.
609,We have to ask you to move.
610,We have a situation.
