,dialog
228,Helps me to draw them.
229,"I try to capture their essence, scribble down some notes on how to kill them."
230,Sometimes I think it's the only way I know how to cope with these things.
231,"This is 7045. Come in, 3022."
232,"I repeat, come in, 3022. Over."
233,This is 3022.
234,"What is it now, Ray?"
235,"Hey, Janice. No, it's actually..."
236,"It's, uh, Joel."
237, Oh. Joel.
238, Yeah.
239,All right.
240,Hold on one second.
241,"Aimee, it's Ray!"
242,It's Joel.
243,"Thanks, Janice."
244, Joel! Hey!
245," Hey, Aimee! Hi!"
246, How are you?
247," Hi. Yeah, I, uh... I'm good."
248, It's so good to hear your voice.
249, I'm so sorry.
250,I heard on the open frequency that one of you guys got killed.
251,Yeah. Breached the bunker.
252,Wow. Actually got inside?
253,Yeah. It's the first time it's happened.
254,It was kinda scary.
255,Did you have to fight it too?
256,"Yeah. Yeah, a little."
257,I had to fight it a little bit.
258,"Actually got super ripped since the last time you saw me, so..."
259,Oh. Wow!
260,"Super ripped, huh?"
261,"Yeah, I was kidding. I'm not super ripped."
262,That was just a bad joke.
263,"Well, I'm glad you're okay."
264,Thanks. Yeah.
265,I am still kinda blown away that you were even able to find my colony on this thing.
266,I know.
267,It's pretty crazy.
268,'Cause I found it on the first one.
269,What are the odds?
270,Crazy.
271,"Yeah. No, I... I called..."
272,"I called, like, 90."
273," Hey, you know what I, uh... know what I wish sometimes?"
274, What?
275,"That I could, like, ssnap my fingers and be back in that car with you."
276,"Man, that'd be nice."
277,"Yeah. Too bad it's, uh..."
278,"you know, impossible."
279,Kinda feels like everything is impossible these days.
280,Taking care of this whole colony is exhausting.
281,"I, uh..."
282,II write you letters.
283,Really?
284,"Yeah. Yeah, II write you letters sometimes."
285, Aw!
286, All the time.
287,I'd love to read 'em.
288,Really? I would love to read them to...
289,No. Aimee?
290,Aimee?
291,We've lost a lot of people over the years.
292,You'd think you'd get numb to it after a certain point.
293,You don't.
294, I'm sorry.
295," Thank God! Where have you been, Joel?"
296,We have to go right now.
297,"Say your goodbyes, get in the car."
298, I should go.
299, Maybe you should come with us.
300,"No, my mom is waiting. I'm sorry."
301,Get in the car!
302,"Aimee, you need to hurry home now!"
303, I want you to have this.
304, What? This is Crocodile Carl.
305,It's your good luck charm.
306, Be careful.
307, You too.
308,Aimee.
309,I love you.
310,I love you too.
311,I'm gonna come find you.
312,You better.
313,You better.
314,I wanna know how it got in.
315,It appears to have ripped through one of our perimeter defenses.
316,"What, it ripped through steel?"
317,Anderson and I resealed the breach point and the vent.
318,Nothing's getting in that way again.
319,But why did it happen?
320,It was a freak occurrence.
321,There's no reason to think it'll happen again.
322,We should try to stay calm.
323,How far away is Aimee's colony?
324, What?
325, Aimee's colony.
326, How far away is it?
327, About 85 miles.
328,How long does that take to get there?
329,You're not actually thinking of going?
330,"Tim, just... humor me."
331, How long?
332, Seven days. Minimum.
333,An armed and trained hunting party would be lucky to last 50 miles on the surface.
334,"But you, Joel..."
335,"All right, now I need volunteers to help reinforce some of the outer perimeter."
336,"Yeah, I'm gonna go."
337, Ava's got this.
338, Exactly.
339,I'm gonna go.
340,"It's an impossible journey, Joel."
341,"No, I'm serious."
342,"I love you guys, but there's one person in this world who ever truly made me happy, and she's only 85 miles away."
343,And I'm gonna go see her.
344,Whew.
345,That felt awesome.
346,"Dear Aimee, I am done hiding."
347,I'm done waiting for things to get better.
348,It's time to take matters into my own hands.
349,Time to let someone else make the minestrone.
350,"I'm taking a radio, even though it doesn't have power."
351,But I'm gonna take it anyway.
352,"Wish me luck, Gertie."
353,"Mavis, take care of her."
354,"You're not joking, are you?"
355,"Nope. Nope, I'm not."
356,He's not joking.
357,"We're not letting you leave, Joel. You're needed here."
358,"Tim, no, I'm not. Come on."
359,I don't do anything.
360,"Joel, that's not true. You fix the radio."
361,You make the minestrone.
362,Okay.
363,Doesn't sound as important when I say it out loud.
364,I appreciate you trying.
365,"Really, I do."
366,I just don't feel like I belong anywhere.
367,"I don't really wanna die all alone at the end of the world, so..."
368,"Look, I know you guys all just think of me as, like, some little, pathetic, adorable hedgehog."
369,But I can take care of myself.
370,I'm actually probably a lot stronger than you might think.
371, We made you a map.
372," Thanks, Karen."
373,Just... take care.
374, Everything will try to kill you.
375, Oh.
376,Be observant.
377,Use the advantages that you have.
378," You're fast and small, so..."
379, Right.
380, Don't fight. Just run and hide.
381, Don't fight.
382,"Thanks, Ray."
383,You're an asshole if you get eaten.
384, Okay.
385, Nice.
386,I love you guys. Tell Aimee I'll see her in seven days.
387, We believe in you.
388," Love you, buddy."
389,Where am I?
390,"Well, it's not super useful."
391,"Okay, well, you know what?"
392,We know we gotta head west.
393,Right?
394,"Well, let's just... do that."
395,Start with something easy. West.
396,"Nope, it's this way."
397,West is this way.
398,Shit.
399,Split the difference.
400,Go this way.
401,Done. First decision made.
402,"Dear Aimee, I am doing it."
403,I'm really doing it!
404,"Honestly, I thought it'd be way worse."
405,"So far, it's not too bad."
406,"I've seen a lot of signs of death, but no actual death."
407,So cross your fingers.
408,Oh.
409,Monster eggs.
410,Trying to stay positive.
411,Weather's nice.
412,Getting some fresh air.
413,What else can I tell ya?
414,Cool.
415,WhamO...
416,No.
417,Run and hide.
418,Hide in the house.
419,Hide in the house.
420,No.
421,"No, no, no. No!"
422,No!
423,"No, no, no!"
424,Yes! Bite it! Bite it off!
425,"Wait. Wait, wait, wait, wait, wait!"
426,Where are you going?
427,Whoa!
428,"Whoa, that was so cool."
429,Nice place.
430,Can I sit?
