,dialog
351,"But if you do this, you will start a war with Mufasa!"
352,Hyenas and lions have been at war since the beginning of time.
353,But Mufasa's bloodline will end here!
354,Run!
355,Don't let them get away!
356,Come on!
357,Did you hear that?
358,The future king!
359,"Oh, don't hurt me!"
360,Do it again!
361,If you ever come near my son again...
362,"No, Mufasa. Never."
363,Never again.
364,"You've been warned, Shenzi."
365,I thought you were very brave.
366,Zazu?
367,Take Nala back to Pride Rock.
368,"Yes, sire."
369,"Don't be too hard on him, sire."
370,"I remember a cub, a certain headstrong cub..."
371,who was always getting into scrapes.
372,"And he achieved some prominence, did he not, sire?"
373,I have to teach my son a lesson.
374,"Nala, come along."
375,Simba?
376,You deliberately disobeyed me.
377,I know.
378,You could have been killed.
379,"And what's worse, you put Nala in danger."
380,Do you understand what's at stake?
381,You jeopardized the future of our pride.
382,I just wanted to show you I could do it.
383,That I could be brave like you.
384,"I'm only brave when I have to be, when there's no other choice."
385,But you're not scared of anything.
386,I was today.
387,You were?
388,Yes. I thought I might lose you.
389,"I guess even kings get scared, huh?"
390,More than you could ever know.
391, But guess what?
392, What?
393,I think those hyenas were even scareder.
394,That's 'cause nobody messes with your dad.
395,Come here.
396, Dad?
397, Uhhuh?
398,"We're pals, right?"
399,Right.
400,And we'll always be together...
401,right?
402,"Simba, let me tell you something my father told me."
403,Look at the stars.
404,The great kings of the past...
405,look down on us from those stars.
406, Really?
407, Yes.
408,So whenever you feel alone...
409,just remember that those kings...
410,will always be up there to guide you.
411,And so will I.
412,"But I can't see them, Dad."
413,"Keep looking, son."
414,Keep looking.
415,Mufasa is strong.
416,"Like, way stronger than us."
417, Please give me some space.
418, What?
419,You could lay anywhere in this cave.
420, Where do you want me to...
421, I need some personal space.
422, Okay?
423, Okay.
424,Not to take anything away from you. You were great.
425,But he is...
426,"See, now I know you're doing this on purpose."
427,"Very brave, too."
428,"Tough, good energy."
429,Now you're just being spiteful.
430,Good posture.
431,Next time I see Mufasa...
432,I'm gonna teach him a lesson he will never forget.
433,"Well, you're in luck!"
434,He's right behind ya.
435,Mufasa?
436,That's not the king.
437,You fools have stripped your land of every living thing.
438,And yet I send two little cubs your way...
439,and they come back alive.
440,I guess we'll have to eat you instead.
441,Why eat one meal...
442,when you can be feasting the rest of your lives?
443,What could you possibly offer us?
444,A place where you can fill your bellies.
445,Where everything the light touches is yours for the kill.
446,The Pride Lands are not yours to give.
447,The king controls those hunting grounds.
448,That's why we're going to kill him.
449,Mufasa has always shown too much restraint...
450,when it comes to hunting.
