,dialog
221,"You know, once the hellish burnin' stops feels almost nice. Thank you."
222,You are very welcome.
223,You're takin' good care of me.
224,Anything I can do for you?
225,Yes.
226,Would you read this out loud?
227,It's the poem that you wrote in Wyoming.
228,"Oh, it ain't a poem."
229,It's just some things I was thinking and some emotions.
230,Would you read it to me?
231,Well...
232,Feel stupid if I read it out loud.
233,It will not. It's beautiful.
234,Whenever I was alone I would read it and I would feel better.
235,Please?
236,I can't think of a polite way out of this.
237, That's because there isn't What time is it?
238, Half past ten.
239, Mr. and Mrs. O'Dwyer.
240, It's John Brooder.
241, I'm here regarding  a medical matter.
242,"Good evening, Mrs. O'Dwyer."
243,Are you hurt?
244,"Oh, I'm not the injured party, there was..."
245,A drifter that got quick with the sheriff.
246,Shot in the leg?
247,Shot in the leg.
248,"And, Doc Taylor's in his cups?"
249,Deep. I took his equipment.
250,I have my own.
251,Does yours contain two bottles of vodka?
252,Where's the drifter?
253,He's in jail.
254,Arthur?
255, Yeah?
256,I need to extract a bullet.
257,Mr. Brooder shall escort me.
258, Okay. John?
259,Yes?
260, If you make any  flirtatious remarks  in my wife's presence  there'll be a reckoning.
261,"I'll behave, cowboy."
262, Please keep your  leg elevated.
263,I'll do it.
264,Bye.
265, Bye.
266,You have a gift.
267,I have four brothers and grew up in cold weather.
268,Checkers is all we did.
269,You ever beat Nick in a checkers match?
270,Nope. Though we only played twice.
271,I haven't had a different result in a 100 games.
272,Maybe I shouldn't bet.
273,What's that?
274,A blonde hair.
275,Looks like from a woman.
276,I told you his manner was suspicious.
277,"That's you, Doc?"
278, It's John Brooder.
279, I brought Mrs. O'Dwyer.
280,"Good evening, Mrs. O'Dwyer."
281,Ma'am.
282,Thank you for comin'.
283,Happy to help.
284,You can go.
285,You're welcome.
286,Fling the gate.
287,What do you need from us?
288,A pot of boiling water.
289,I'll get it.
290,Can you remove his chains?
291,"No, ma'am."
292,He's that dangerous?
293,He buried that stuff outside of town.
294,"It's not his, and it's got bloodstains all over it."
295,He's boiling.
296,I only shot him in the leg.
297,"Well, that's his hobby."
298,Deputy.
299,Not every man who leaps in front of your pistol is hale.
300,Do what you can for him.
301,Very likely he's gonna get hanged but it'd be nice if the families of the people he bushwhacked could come to town and watch him go purple on the rope.
302,"Well, that should inspire her."
303,Deputy.
304,I want you to stay here tonight.
305,Help Mrs. O'Dwyer with whatever she needs.
306,Lock everything up and escort her home when she's done.
307,Isn't that why we have a backup deputy for?
308,"Oh, no, I'll take care of things."
309,"I don't sleep few hours, anyway."
310,Nick stays.
311,I want you to get some rest.
312,You did real good tonight.
313,Oh!
314,Does he have a name?
315,"He proffered ""Buddy"" but that's probably somebody he hates or who's dead."
316,Very well. Please let my husband know not to wait up.
317,I'll need to stay and monitor the patient's fever after the surgery.
318,"Yes, ma'am."
319,Chicory.
320,Wait a minute.
321,"Hey, I'm doin' lot better than I thought."
322,Much better.
323,You're looking at my side of the board.
324,Good night.
325,"Good night, Mrs. O'Dwyer."
326,Good night.
327,"Good night, ma'am."
328,It's heating up.
329,Please don't stick your fingers in the water.
330,"Yes, ma'am. I'm sorry."
331,Thanks for lettin' me know.
332,Thanks for loanin' her out.
333,"So, Deputy Nick's gonna bring her back?"
334,He will.
335,How's your wife doing?
336,Better. Thought maybe it was pneumonia but seems like it was just a bad cold.
337,Good to hear.
338,Give her my regards.
339,I will.
340,Good night.
341,"Dear Samantha, I hope things are going good for you back in Bright Hope."
342,And that Doc Taylor is drinking less.
343,I am in Wyoming now.
344,"The ride here was long and difficult and the foreman had to discipline a lot of men and let some go which made things harder for the rest of us, especially in this cold weather."
345,I've been in charge of the night roundup for a while and I've organized it pretty good.
346,Sometimes when I'm working long I look at the faces of the other cowboys and I can see that they're miserable all the way through.
347,But since I met you I don't get that feeling anymore like I used to.
348,You give me this warmth in my direct center that won't turn cold no matter what happens out here.
349,The other day I saw these hills on the border and the shapes of them reminded me of you when you are next to me in bed on your side.
350,Sometimes I see you in the waterfalls and the clouds and always you have that real happy look on your face like when I come back from being away and we are about to kiss for the first time in months.
351,That ain't a poem.
352,"No, ma'am."
353,My body feels like cotton.
354,I gave you some tincture of opium.
355,Are you done?
356,I need to clean the wound and sew it shut.
357,"I'm coming, ladies. Don't fret."
358,Mr. Wallington?
359,Is that you?
360,"Samantha, you back yet?"
361,Sam?
362,Told you last night I'd make breakfast.
363,Why don't you go back to bed?
364,"I'd like to do it, Franklin."
365,I'm feeling better today.
366,You were feelin' better last night.
367, You're a remedy.
368,And you're makin' fry bread.
369,"Well, that's my intention."
370,But where'd you put the spoons?
371,They're no place logical.
372,I thought you'd explain that enigma.
373,  Sheriff Hunt?
374,"Is that you, Clarence?"
375, It's me.
376,The door is open.
377,Why are you in my breakfast?
378,There's a situation.
379,Serious.
380,I'll leave you two.
381,Talk.
382,"This morning I went out to tend to my colt, needed a new shoe and when I got there..."
383,"I saw Buford, the stable boy, he was lying there dead, he was all torn up."
