,dialog
228,"So, like, what's the plan with the cameras, dude?"
229,"Like, you're carrying them around everywhere."
230,"Yeah, man. Look."
231,Compact and easy to hide.
232,I think we should put one of these in Danny's room.
233,"Oh, I'm not up for seeing my sister naked, but thank you, though."
234,"Well, what about the rest of us, dude?"
235,Fucking asshole!
236,Danny.
237,"Oh, shit."
238,What are you doing?
239,Please tell me you got a camera for this.
240,"Give it here, give it here."
241,I'd like to thank the Academy for this prestigious award.
242,I will enjoy this every single day.
243,Tell me how it's fair that we have to pay for groceries.
244,Aw...
245,Poor puppy!
246, Bryan.
247, Yeah?
248,Come check this out.
249,You folks just passing through?
250,"No, we're staying up at Hobb Springs."
251,You don't say.
252,"I don't get up there much myself anymore, but I expect I will be."
253," Well, why is that?"
254, You just got in?
255, Yeah.
256, Yeah.
257,"You all see a bunch of little, old ladies bebopping around up there?"
258,"Oh, yeah."
259,The Daughters of the Revolution?
260,That'd be them. Poor things can't remember if this woman got back on that bus or not.
261,"Agnes Fields, you hear of her?"
262,"No. Like I said, we just got here, so..."
263,Just what is a lovely couple like you doing settling in Hobb Springs?
264,"Oh, well, our friend inherited it."
265,"Well, nice for him, huh?"
266,Tell you what.
267,"You take one of these up there, do me a favor, show it around."
268,Maybe we get lucky and her face will ring a bell with somebody.
269,"Oh, is there a reward?"
270,"Sure thing, officer."
271,I can't think what could have happened to her.
272," OK. Well, take care."
273, See ya.
274,What are you doing?
275,I can't get this hot spot to work.
276,Have you guys seen Danny?
277,"Yeah, he just wandered through here a minute ago."
278,"Leave him alone, Mom, he's enjoying himself."
279, Something wrong?
280, I don't know.
281, Come on. Let's go find him.
282, Thank you.
283,I guess this place just gives me the creeps.
284,Danny. We've been looking all over for you.
285,You OK?
286,Take a look at this picture and tell me if I should be.
287,That guy kind of looks like Danny.
288,Even some of the women do.
289,The whole history of this hotel's up here.
290,How could I not know any of these people?
291,These pictures only go up to the '70s.
292,Maybe your side of the family moved.
293,"Not everybody, though. Look."
294,I think we just met your cousins.
295,"Whoa, you guys Why the hell are they all covered up?"
296,"I don't know how to break this to you, man, but what we have here is classic mountain breeding."
297, Stop.
298," I'm just saying, there's bound to be a few defects along the way."
299, Stop. Seriously.
300, You heard him!
301,"You think 'cause we're mountain folk, our ways ain't fit for fine society?"
302,"We've had all sorts stay here, including three presidents: Teddy Roosevelt, Calvin Coolidge, and Jefferson Davis."
303,Not one had a complaint!
304, Jefferson Davis?
305," It's OK, Jackson. Really."
306,He was just messing around.
307,"Weren't you, Vic?"
308,I'm sorry.
309,I'm just very proud of my heritage.
310,"Families really tamed this land, they made it into something."
311,It's impressive. Really.
312,Yeah.
313,Wanna see something really impressive?
314, Yeah.
315, Come on.
316,Shit!
317, Don't touch.
318, Sorry.
319,"You have a good eye, Danny."
320,It belonged to your grandfather.
321, He was hell with a bow.
322, The bane of critters everywhere.
323," What is it, honey?"
324, My grandfather.
325,My grandfather.
326,I just can't believe I...
327,...even had a grand...
328,Please. Give it a feel.
329,"Man, that's tight."
330,"Ever been bow hunting, Danny?"
331,"Never been hunting, period."
332,I would like to keep it that way.
333,"That's hardly a proper view, miss, considering you haven't even tried it once."
334,Don't.
335, Fit OK?
336, I'm getting used to it.
337,I knew you would.
338,"Your girl, she really didn't want you to come."
339,She's just being protective.
340,They all are.
341,That guy with the fancy car and girl to match.
342,"Bryan? We used to work together, before it all... happened."
343,I used to be on Wall Street.
344,Had a bit of a meltdown.
345, Seems an appropriate reaction.
346, Not everybody thought so.
347,Not my company.
348,Definitely not my clients.
349,I lost a lot of people's money.
350,"Including Bryan's, Toni's, my own."
351,I guess that's when you find out who your real friends are.
352, The ones who stand by you.
353, Maybe they think you owe them.
354,"No, not them."
355,It was all so embarrassing.
356,You weren't suited to that nonsense.
357,"On the plus side, it's how we found you."
358,What do you mean?
359,We do have the internet out here.
360, So you found me through Google?
361, Yeah.
362,Took a long time.
363,But it was important we found you.
364, To run a hotel?
365, Amongst other things.
366,Time to climb up.
367,This doesn't belong to somebody?
368,Anything on this land belongs to us.
369,Go on.
370,Beer has arrived.
371," There you go, dude."
372," Fuck, we need an opener."
373, Yeah.
374, Hey! Where's Danny?
375,Out hunting.
376," What, Danny?"
377, What's this?
378,"Oh, yeah. Remember the little gaggle of old ladies?"
379, Yeah.
380," Well, one of them went AWOL."
381,"Fucking Alzheimer's, dude."
382,It's a fucking killer.
383, You need to go get Danny.
384, Now?
385,Yes. Please.
386,"It's gonna get dark soon, and I don't like him alone with these people."
387,"OK, Mom."
388,They ain't gonna like it.
389, Are you sure we don't...
390, Sh!
391,...need a permit or anything?
392,Every man lives by his own set of rules.
393,"Speaking of which, time to introduce you to the hunt."
394,"First you gotta scout, then stretch."
395,Someplace the deer feels safe.
396,Where men can't get to it.
397,Bait your area.
398,"Lure, entice the deer over your ways."
399,You don't wanna go after your prey.
400,You let your prey come to you.
401,It's about patience.
402,And being smarter than the animal.
403,Be still.
404,Aim for the upper shoulder.
405,The neck.
406,Or the brain.
407,A oneshot kill.
408,Now we check the blood trail.
409,Pink blood with air bubbles means you've hit the heart or the lung.
410,Now that's what you want.
411,"Dark red, you probably hit the liver."
412,"The buck may hang in there, but they will die soon enough."
413,"Watery blood with bile, you may have to track the deer, deliver another shot."
414,He may try to bolt.
415,"But if you've aimed just right, it'll be pure reflex."
416,"Good shot, Danny."
417, What do we do next?
418, Nothing.
419,It's dark red blood.
420,"Besides, he'll be dead soon."
421,We have more than enough meat back home.
422,Come on.
423,We can't just leave it like this.
424,It's your kill.
425,Just be careful.
426,He may have some kick left in him.
427,"Upper shoulder, neck or brain. Go."
428,"Very good, Danny."
429,That's very good.
