,precision,recall,f1-score,support
Hate Speech,0.4128113879003559,0.4157706093189964,0.41428571428571426,279.0
Offensive Language,0.927216012477255,0.9310884886452623,0.929148215681167,3831.0
Neither,0.8244084682440846,0.8063337393422655,0.8152709359605911,821.0
accuracy,0.8811600081119448,0.8811600081119448,0.8811600081119448,0.8811600081119448
macro avg,0.7214786228738985,0.7177309457688414,0.7195682886424909,4931.0
weighted avg,0.8809933631013905,0.8811600081119448,0.881056574119633,4931.0
