,precision,recall,f1-score,support
hate speech,0.45454545454545453,0.26666666666666666,0.3361344537815126,300.0
offensive language,0.8993003498250874,0.9404233080742096,0.9194022225060672,3827.0
neither,0.772,0.7228464419475655,0.746615087040619,801.0
accuracy,0.8640422077922078,0.8640422077922078,0.8640422077922078,0.8640422077922078
macro avg,0.7086152681235139,0.6433121388961472,0.6673839211093995,4928.0
weighted avg,0.8515337003133616,0.8640422077922078,0.8558099282436503,4928.0
