,Epoch,Step,Loss,learning_rate,num_epochs,batch_size,num_classes,test_size,train_size,seed,train_class_proportion_not hate speech,train_class_proportion_hate speech,test_class_proportion_not hate speech,test_class_proportion_hate speech
0,1,1,0.701455295085907,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
1,1,2,0.6935025453567505,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
2,1,3,0.6898719668388367,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
3,1,4,0.6749275922775269,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
4,1,5,0.6912850737571716,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
5,1,6,0.6521731019020081,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
6,1,7,0.6898362040519714,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
7,1,8,0.6484510898590088,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
8,1,9,0.6879461407661438,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
9,1,10,0.6638309955596924,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
10,1,11,0.6576078534126282,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
11,1,12,0.6524620056152344,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
12,1,13,0.6161509156227112,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
13,1,14,0.6703379154205322,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
14,1,15,0.6241135597229004,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
15,1,16,0.6234747171401978,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
16,1,17,0.5819547176361084,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
17,1,18,0.6392236351966858,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
18,1,19,0.6186400055885315,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
19,1,20,0.6086146235466003,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
20,1,21,0.6060289740562439,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
21,1,22,0.5936174392700195,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
22,1,23,0.5387246012687683,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
23,1,24,0.5710600018501282,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
24,1,25,0.5345783829689026,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
25,1,26,0.6071925163269043,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
26,1,27,0.5674359798431396,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
27,1,28,0.5131391286849976,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
28,1,29,0.4772683382034302,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
29,1,30,0.5943741202354431,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
30,1,31,0.5181006193161011,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
31,1,32,0.6311942934989929,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
32,1,33,0.4827065169811249,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
33,1,34,0.6084244251251221,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
34,1,35,0.7902643084526062,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
35,1,36,0.5850838422775269,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
36,1,37,0.530023992061615,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
37,1,38,0.6900401711463928,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
38,1,39,0.6661779880523682,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
39,1,40,0.48521941900253296,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
40,1,41,0.4808952212333679,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
41,1,42,0.6275671720504761,0.001,8,32,2,612,2444,11,0.73,0.27,0.68,0.32
