,dialog
544,"Hey, is there another way out of here?"
545,No.
546,You fed 'em yet today?
547,It doesn't matter.
548,They're professionals.
549,You might lose a couple by morning Maybe a bunch.
550,"Like I said, they're pros."
551,They earn.
552,You'll be compensated.
553,Christ. How many people are on that list?
554,"It's 1,200 for a prospect, two for a bait dog."
555,"No studs, no champs unless you wanna pay This might cost you your livelihood, Clark."
556,"As long as it doesn't cost me mine, you're covered."
557,"There are gonna be cops, so clean up the residence."
558,Maybe leave a roach in an ashtray.
559,Put Daniel on that door and bring the van around.
560,Shit.
561,The keys.
562,"They're with them, I guess."
563,I don't know.
564,We need them.
565,I got a ton of shit to do.
566,Go on.
567,This is a fire hazard.
568,I wouldn't put Daniel on the door.
569,Fine. Plenty to do.
570,Where's Daniel?
571,He stepped out.
572,I'm covering.
573,Everything okay?
574,Meet me at the utility shed.
575,This a new ride?
576,Yeah.
577,Just turning it over.
578,I think it's getting choked.
579,Wrong filter.
580, She's a beaut.
581, What's up?
582,Need some of the squad.
583,Red laces only.
584, Tonight?
585, Now.
586,The list.
587,This is everybody who knows?
588,Yeah. Including the band.
589,Knows what?
590,Manageable.
591,"From here on out, not a single name gets added unless they have red laces."
592,There's 80 people in there.
593,You plus four.
594,Give Gabe the keys in case we have to play valet.
595,We're losing light.
596, You got it?
597, Yeah.
598,"Whoa, watch out!"
599,That could be asbestos.
600, It's not asbestos.
601," You don't have a phone, do you?"
602,They took it.
603,Hers too.
604,"I'm gonna search her, okay?"
605,Careful. That one could be a live wire.
606,It's a speaker wire.
607,What'd you find?
608,Uh...
609,"""Fleisch Wolf""?"
610,Uh... fleisch means...
611,"uh, flesh."
612,Or meat.
613,Like a fleisch salad.
614,It's German.
615,"So ""Meat Wolf""?"
616,Yeah.
617,This shit's solid.
618, Great.
619, There's nothing here.
620,Okay. Empty out your pockets.
621,"Come search me, faggot."
622,Just shoot him.
623,Come on.
624,Can I get up?
625,On the chair.
626,Slowly. Slowly.
627,Turn 'em out.
628,"Come on, man."
629,Other one.
630,Oh fuck.
631,Good call.
