,dialog
189,Ain't Caddos. Ain't Kiowas.
190,Break out the grain.
191,"Yes, sir. Yes, sir."
192,"Quiet, boy."
193,I'll see if I can shoot a couple of sage hens before supper.
194,"Yes, you do that, Aaron."
195,"Ma, the days are getting shorter."
196,"Lucy, we don't need a lamp yet."
197,Let's just enjoy the dusk.
198,"It's all right, Ma, I've been watching. Only What, Ben?"
199,I wish Uncle Ethan was here.
200,"Don't you, Ma?"
201,"Close that shutter, Ben, like a good boy."
202,"We're gonna play the ""sleepout"" game."
203,Remember?
204,Where you hide out with Grandma?
205,Where she is buried?
206,"And you creep along the ditch very quietly, like Like a little mouse."
207,Hurry up! The moon's fixin' to rise!
208,"You won't make a sound or come back, no matter what you hear!"
209,Promise?
210,I promise.
211,Wait. Can't I have my doll?
212,There's no time. There's no time.
213,"Now, down low. Run!"
214,"Chris, go back. Go back, Chris! Go back!"
215,"Wait a minute, Uncle Ethan."
216,Next time you'll mind your Uncle Ethan.
217,Thank you kindly....
218,"Wait, Mose! We can ride double, Mose!"
219,Aunt Martha!
220,Let me in.
221,"Don't go in there, boy."
222,I know she's in there!
223,Don't go in!
224,Don't let him look in there.
225,It won't do him any good.
226,"Put an ""Amen"" to it!"
227,There's no more time for praying. Amen!
228,Those girls mean as much to me as though they were my own.
229,Maybe you don't know that my Brad has been keeping company with Lucy.
230,"I'd be obliged if you'd come to the point, ma'am."
231,It's just that I know Martha would want you...
232,"...to take care of her boys, as well as her girls."
233,"If the girls are dead, don't let the boys waste their lives in vengeance."
234,"Promise me, Ethan!"
235,"Come on, if you're going with us!"
236,Captain Clayton!
237,"Another one, huh?"
238,"Give me a hand, Charlie."
239,"This one came a long way before he died, Captain."
240,"Well, Ethan, there's another one you can score up for your brother."
241,I don't like it!
242,What don't you like?
243,Indians on a raid generally hide their dead.
244,If they don't care anything about us knowin'...
245,"...it only spells one thing: They ain't afraid of us following, or of us catchin' up with them either."
246,"You can back out any time you want, Nesby."
247,"Ethan, I didn't say that! I didn't say such!"
248,"Easy, Nesby, easy."
249,Why don't you finish the job?
250,What good did that do you?
251,"By what you preach, none."
252,But what that Comanche believes...
253,"...ain't got no eyes, he can't enter the Spirit Land."
254,Has to wander forever between the winds.
255,"You get it, Reverend."
256,"Come on, Blankethead!"
257,"All right, boys. Let's mount up."
258,"They're camped by the river, about 20 miles from here."
259,"We'll wait till dark, then circle out so we can jump 'em before daylight."
260,"You're sure you want to jump 'em, Ethan?"
261,"That's what we came for, ain't it?"
262,I thought we were tryin' to get them girls out...alive.
263,"If we jump them Comanches, they'll kill 'em. You know that."
264,"What are we doing then, Reverend?"
265,"What are we supposed to do, Ethan?"
266,"Well, what I had in mind was maybe runnin' off their pony herd."
267,A Comanche on foot is more apt to be willin' to listen.
268,"Yeah, I think the Reverend's right."
269,Don't you?
270,You think the Reverend's....
271,What does a quarterbreed Cherokee know about the old Comanche trick...
272,...of sleepin' with his best pony tied right by his side?
273,You've got about as much chance of stampeding that herd as As you have of finding them girls alive by raidin' into 'em!
274,I say we do it my way.
275,And that's an order!
276,"Yes, sir."
277,But if you're wrong...
278,...don't ever give me another!
279,"Well, they were here."
280,Sure. They were here.
281,"And now they're out there, waiting to jump us."
282,"Any more orders, ""Captain""?"
283,Yes. We'll keep on going.
284,Well?
285,"You want to quit, Ethan?"
286,That'll be the day!
287,Horses!
288,Horses!
289,Keep on going.
290,Keep moving! Keep moving!
291,"Well, Reverend, it looks like you got yourself surrounded."
292,"Yeah, and I figure I can get myself unsurrounded."
293,"Mose, how far is the river?"
294,"I've been baptized, Reverend."
295,I've been baptized.
296,"Shut up, you fool."
297,"Thank you, kindly. Thank you."
298,You'd better get yourself set for another one...
299,"...because when I holler, I want you to move out in a hurry!"
300,Let's go!
301,"Take it easy, Nesby."
302,"You'll be all right, Nesby."
303,Here is my Bible. Hold it.
304,It'll make you feel good.
305,"Thank you, Reverend."
306,Thank you very kindly.
307,Do you think they'll charge us?
308,Are you asking me?
309,I am.
310,"Well, thank you."
311,Yep. The Death Song.
312,"The War Chief. He's got to, to save face."
313,"Yes, sir. He'll be right in your lap in a minute, sonny."
314,"For that which we're about to receive, we thank Thee, O Lord."
315,"You got him, Marty!"
316,Hallelujah!
317,Dang! Blast it!
318,"Watch it, it's loaded!"
319,Leave them to carry off their hurt and dead.
320,"Well, Reverend, that does it!"
321,"From now on, you stay out of this, all of you! I don't want you with me."
322,I don't need you for what I've gotta do!
323,"Well, Edwards, I guess you're right."
324,We gotta get Nesby back.
325,This is a job for a whole company of rangers...
326,...or it's a job for one or two men.
327,"Right now, we're too many and not enough."
328,"Me, I'm going on alone."
329,Any objections?
330,Good luck.
331,"There's only one way you can stop me from looking for Lucy, mister..."
332,...and that's kill me!
333,"That's the way I feel, Uncle Ethan."
334,"All right. But I'm giving the orders, you hear?"
335,I'm givin' the orders...
336,...and you'll follow 'em or we're splittin' up right here and now.
337,"Sure, Ethan."
338,"There's just one reason we're here, ain't it?"
339,It's to find Debbie and Lucy.
340,If they're still alive.
341,Mount up.
342,They gotta stop sometime.
343,"If they're human men at all, they gotta stop!"
344,"No, a human rides a horse until it dies, then he goes on afoot."
345,"A Comanche comes along, gets that horse up, rides him 20 more miles..."
346,...and then he eats him.
347,Easy on that!
348,Sorry.
349,We don't even know if Debbie and Lucy are in this bunch.
350,Maybe they split up.
351,"They're with 'em, all right."
352,If they're still alive.
353,You've said that enough!
354,Maybe Lucy's dead.
355,Maybe they're both dead.
356,"But, if I hear that from you again, I'll fight you, Mr. Edwards!"
357,That'll be the day!
358,Spread out!
359,"Found a main trail, but..."
360,...four of them cut out here and rode on up through that pass.
361,"How come they'd do that, Ethan?"
362,I'll take a look. Keep after the others.
363,"If you want us to fire No, nor build bonfires, nor beat drums."
364,I'll meet you on the far side.
365,Move!
366,"Do you want some water, Ethan?"
367,The trail leads over there.
368,Why'd they break off?
369,Was there water in that canyon?
370,Huh?
371,No water.
372,"Are you all right, Ethan?"
373,I'm all right.
374,What happened to your coat?
375,Did you lose it?
376,I must have.
377,But I'm not going back for it!
378,I found 'em! I found Lucy!
379,They're camped a halfmile over. I was swinging back and I saw their smoke.
380,"Bellied up a ridge, and there they were, right below me."
381,Did you see Debbie?
382,"No, but I saw Lucy all right."
383,She was wearing that blue dress What you saw wasn't Lucy.
384,"Oh, but it was What you saw was a buck..."
385,...wearin' Lucy's dress.
386,I found Lucy back in the canyon.
387,I wrapped her in my coat.
388,Buried her with my own hands.
389,I thought it best to keep it from you.
390,Did they....
391,Was she...?
392,What do you want me to do?
393,Draw you a picture? Spell it out?
394,"Don't ever ask me! As long as you live, don't ever ask me more!"
395,"I'm awful sorry, Brad."
396,Wait a minute!
397,"Get back here, Brad! Get back here!"
398,Why don't you say it?
399,"We're beaten, and you know it."
400,Our turnin' back don't mean nothin'.
401,Not in the long run.
402,"If she's alive, she's safe."
403,"For a while, they'll keep her..."
404,...and they'll raise her as one of their own until...
405,...she's of an age to....
406,Do you think maybe there's a chance we still might find her?
407,An Indian will chase a thing till he thinks he's chased it enough.
408,Then he quits.
409,Same way when he runs.
410,Seems like he never learns there's such a thing as...
411,...a critter who'll just keep coming on.
412,So we'll find 'em in the end. I promise you.
413,We'll find 'em...
414,...just as sure as the turnin' of the earth!
415,"Hi, Ethan."
416,"Hello, sir."
417,"Hi, Marty."
418,"How are you, sir?"
419,"You got my letter about your son, Brad?"
420,Just about this time a year ago.
421,"Oh, Ethan, this country...."
422,"Him? Probably forgotten all about you, can't even call your name to mind!"
423,Her name is Laurie.
424,But I fairly forgot just how pretty she was.
425,What about Debbie?
426,"Hey, what are you doin' anyway?"
427,Don't go taking that stuff!
428,"Well, it ain't worth the mending."
429,"What are you gettin' so red in the face about? I got brothers, ain't I?"
430,"Yeah, well, I ain't one of them."
431,"Look here, Martin Pawley, I'm a woman."
432,We women wash and mend your dirty clothes all your lives.
433,"When you're little, we even wash you!"
434,"How you can ever make out to be bashful in front of a woman, I'll never know."
435,You talk like a fella just might as well run around naked.
436,It wouldn't bother me none.
437,"Sure wouldn't try it in front of Pa, though, if I was you!"
438,"""Oh, I got a gal prettier than you"" We kept trackin' 'em till the blizzards hit."
439,Then we lost their trail.
440,"Don't need to tell you where we went: Fort Richardson, Wingate, Cobb...."
441,"Trouble is, we don't know which band the war party belonged to."
442,"Well, you did all a body could, Ethan."
443,I got your boy killed.
444,Don't go blamin' yourself for that.
445,It's this country that killed my boy.
446,"Yes, by golly, I tell you Ethan Now, Lars, it just so happens we'd be Texicans."
447,A Texican is nothing but a human man way out on a limb.
448,This year and next....
449,Maybe for a hundred more.
450,But I don't think it will be forever.
451,Some day this country's gonna be a fine good place to be.
452,Maybe it needs our bones in the ground before that time can come.
453,Bedtime.
454,She was a schoolteacher.
455,"Ma, Marty's drawers is a sight."
456,Would it be all right if we give him some of Brad's things?
457,Of course. They're in Grandma's chest.
458,"Ethan, you're going to sleep in the bunkhouse."
459,The letter! In the chest!
460,"It came for you, Ethan, last winter."
461,Charlie McCorry brought it.
462,I'm looking for that letter Charlie McCorry.... By Jiminy!
463,"Here it is. By golly, I forgot."
464,Excuse me.
465,Take a look at this.
466,Just a snip of calico.
467,Ever see it before?
468,Maybe on a dress Debbie wore?
469,"Yes, it was an apron."
470,Have they found her yet?
471,Not yet.
472,Not yet.
473,You might at least have left me my britches!
474,It's time for bed anyway.
475,"Here, try these on."
476,I ain't gonna.
477,"Well, likely they'll need some takin' in."
478,You're that gaunt.
479,Ma's having turkey for dinner tomorrow.
480,"Laurie, come. Let the boys get to bed."
481,"All right, Pa."
482,"Good night, Marty."
483,"Good night, Laurie."
484,"'Night, Mr. Edwards."
485,"'Night, Ms. Jorgensen."
486,Jorgensen's been runnin' my cattle with his own.
487,Your cattle?
488,You mean Debbie's cattle.
489,He's agreed to take you on and split the increase in my herd while I'm gone.
490,I'm pushin' on tomorrow.
491,"Well, I sure ain't gonna stay here!"
492,"I started out lookin' for Debbie, I intend to keep on."
493,Why?
494,"Why? Well, because she is my She's your nothing!"
495,She's no kin to you at all!
496,I always kind of thought she was.
497,The way her folks took me in and raised me....
498,That don't make you no kin.
499,"All right, maybe it don't."
500,But I intend to keep on lookin' anyway.
501,How?
502,"You got any horses, or money to buy 'em?"
503,You ain't even got money for cartridges.
504,Jorgensen's offerin' you a good livin' here.
505,"Martin, I want you to know I know what you want me to know!"
506,"I've got no kin, no money, no horses!"
507,All I got here is a bunch of deadman's clothes to wear!
508,"You told me that already, so, shut your mouth!"
509,"Mornin', Laurie."
510,"Mornin', Marty. Did you sleep well?"
511,"Well, no."
512,I kind of tossed and...
513,...turned and dreamed.
514,I'll get your coffee.
515,"You know, Laurie, I..."
516,"...I was thinking maybe it's time you and me started goin' steady, huh?"
517,You and me have been goin' steady since we was three years old.
518,We have?
519,About time you found out about it!
520,"Gosh, Laurie, I've always been fond of you, but..."
