,precision,recall,f1-score,support
hate speech,0.4350282485875706,0.25666666666666665,0.32285115303983225,300.0
offensive language,0.9071246819338422,0.9315390645414162,0.9191697821322675,3827.0
neither,0.7551766138855055,0.7740324594257179,0.7644882860665845,801.0
accuracy,0.8648538961038961,0.8648538961038961,0.8648538961038961,0.8648538961038961
macro avg,0.6991098481356395,0.6540793968779336,0.6688364070795615,4928.0
weighted avg,0.8536873173821784,0.8648538961038961,0.8577258967677501,4928.0
